,,,,,"Number of births, both sexes combined (thousands)",,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
1,Medium variant,WORLD,,900,704458.082,701332.392,699680.840,702024.219,707655.210,713193.177,714733.652,711741.757,706622.383,702725.430,699809.131,696550.451,691419.479,683971.055,674833.606,665138.810,655590.971
2,Medium variant,More developed regions,a,901,68429.006,67412.691,65777.266,64932.052,65451.861,66362.980,66736.287,66480.857,65844.942,65310.817,65212.895,65420.253,65576.364,65365.691,64843.788,64248.351,63766.762
3,Medium variant,Less developed regions,b,902,636029.076,633919.701,633903.574,637092.167,642203.349,646830.197,647997.365,645260.900,640777.441,637414.613,634596.236,631130.198,625843.115,618605.364,609989.818,600890.459,591824.209
4,Medium variant,Least developed countries,c,941,160741.707,170342.834,179797.914,188660.462,196649.376,203770.466,209935.251,215401.531,220118.605,224163.724,227204.771,229236.673,230348.772,230648.258,230226.896,229140.321,227327.119
5,Medium variant,"Less developed regions, excluding least developed countries",d,934,475287.369,463576.867,454105.660,448431.705,445553.973,443059.731,438062.114,429859.369,420658.836,413250.889,407391.465,401893.525,395494.343,387957.106,379762.922,371750.138,364497.090
6,Medium variant,"Less developed regions, excluding China",,948,552791.863,558384.928,563821.125,569898.672,575996.318,581146.664,583967.990,584115.989,582628.621,581340.381,579633.405,576864.988,572602.267,566884.098,559988.610,552396.482,544428.072
7,Medium variant,High-income countries,e,1503,65431.337,65311.827,64638.985,63977.186,63762.799,63980.036,64336.034,64619.594,64580.423,64297.709,64002.103,63833.173,63820.788,63764.642,63565.014,63198.950,62709.193
8,Medium variant,Middle-income countries,e,1517,518446.527,506674.214,497026.995,491809.899,490222.284,488967.428,484519.899,476347.641,467126.775,460029.884,454819.404,450008.274,444006.930,436492.137,428068.918,419791.286,412385.818
9,Medium variant,Upper-middle-income countries,e,1502,179464.288,167357.351,157718.624,152584.314,151186.090,150611.711,147816.743,142579.303,136948.758,133035.593,130902.822,129592.839,127636.784,124634.256,121108.970,117941.369,115588.616
10,Medium variant,Lower-middle-income countries,e,1501,338982.239,339316.863,339308.371,339225.585,339036.194,338355.717,336703.156,333768.338,330178.017,326994.291,323916.582,320415.435,316370.146,311857.881,306959.948,301849.917,296797.202
11,Medium variant,Low-income countries,e,1500,120336.202,129099.899,137761.995,145979.480,153411.640,159989.368,165624.146,170522.430,174663.391,178146.450,180737.908,182462.555,183349.050,183474.854,182962.954,181914.234,180264.225
12,Medium variant,Sub-Saharan Africa,f,947,185476.923,199304.447,213577.521,227716.854,240823.016,252496.603,262602.984,271470.543,279124.444,285990.569,291567.733,295534.964,298047.074,299249.645,299445.989,298571.647,296670.771
13,Medium variant,AFRICA,,903,214056.122,227242.796,241377.597,256280.773,270499.214,282787.673,292986.071,301575.307,308942.720,315747.897,321304.114,325151.925,327377.754,328179.454,327930.407,326597.565,324279.523
14,Medium variant,Eastern Africa,,910,74478.376,79825.350,85003.728,89918.470,94321.307,98310.123,101759.255,104733.513,107270.518,109365.278,111063.152,112225.749,112936.751,113247.468,113180.863,112796.732,111988.595
15,Medium variant,Burundi,,108,2297.634,2458.760,2598.075,2809.533,3083.721,3340.540,3530.271,3667.178,3798.156,3959.173,4134.674,4275.188,4361.652,4397.219,4434.510,4464.714,4490.313
16,Medium variant,Comoros,,174,132.115,136.681,141.225,146.347,151.536,155.834,158.780,160.176,161.168,161.720,162.231,161.484,159.731,157.340,154.522,151.736,148.787
17,Medium variant,Djibouti,,262,108.394,107.988,105.956,102.333,98.241,94.716,92.015,89.760,87.462,84.746,82.027,79.327,77.208,75.367,73.677,71.966,70.224
18,Medium variant,Eritrea,,232,803.674,825.081,862.973,912.051,951.940,972.394,978.008,981.642,989.158,997.254,998.823,987.676,970.614,953.053,936.352,921.636,906.183
19,Medium variant,Ethiopia,,231,16476.609,16976.434,17208.875,17307.794,17264.955,17205.380,17041.285,16774.236,16420.480,16031.971,15616.748,15223.334,14825.421,14451.690,14065.040,13703.168,13347.369
20,Medium variant,Kenya,,404,7736.117,8158.850,8588.965,8948.594,9199.456,9368.670,9508.254,9597.264,9635.555,9616.766,9534.634,9384.120,9216.378,9055.126,8877.302,8695.459,8502.512
