,,,,,,Number of male deaths by five-year age group (thousands),,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Period,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95+
1,Medium variant,WORLD,,900,2015-2020,16408.802,1633.188,1456.675,1919.342,2652.633,3045.329,3402.985,3836.543,4535.061,5776.246,7574.273,9838.872,12658.057,15081.424,16179.903,16777.333,15247.373,10959.263,5472.674,1757.802
2,Medium variant,WORLD,,900,2020-2025,14723.419,1516.669,1359.823,1829.408,2513.704,2846.100,3276.341,3877.747,4576.714,5808.147,7741.477,10357.755,13478.386,16949.642,19215.258,18457.947,16471.995,12572.163,6731.449,2461.253
3,Medium variant,WORLD,,900,2025-2030,13252.493,1394.820,1260.754,1751.377,2431.832,2717.485,3072.883,3761.670,4661.921,5893.053,7805.826,10648.932,14344.842,18176.684,21755.164,22283.717,18645.362,14016.340,8004.503,3193.295
4,Medium variant,WORLD,,900,2030-2035,11990.851,1285.338,1169.209,1671.618,2360.695,2651.211,2948.367,3559.290,4580.805,6077.687,7963.903,10729.344,14793.545,19508.251,23457.304,25366.880,22913.653,16453.477,9264.679,3992.144
5,Medium variant,WORLD,,900,2035-2040,10880.269,1185.636,1083.365,1582.312,2265.718,2578.635,2876.009,3420.424,4358.864,6028.099,8286.282,10969.593,14891.123,20255.414,25520.307,27787.525,26452.521,20692.705,11370.046,4862.839
6,Medium variant,WORLD,,900,2040-2045,9916.949,1094.446,1008.829,1500.179,2159.864,2480.957,2803.165,3346.694,4209.476,5762.493,8252.422,11440.665,15173.120,20306.025,26632.921,30638.568,29567.450,24318.006,14655.522,6226.126
7,Medium variant,WORLD,,900,2045-2050,9035.626,1006.561,937.890,1422.775,2052.414,2358.092,2690.068,3261.169,4130.012,5587.266,7906.729,11423.535,15903.923,20733.890,26751.227,32360.430,33277.369,27942.297,17619.045,8255.283
8,Medium variant,WORLD,,900,2050-2055,8149.238,916.549,870.144,1353.803,1958.144,2242.842,2560.924,3142.188,4051.762,5525.532,7703.481,10954.959,15943.842,21891.469,27392.772,32712.871,35713.040,32165.532,20911.978,10393.333
9,Medium variant,WORLD,,900,2055-2060,7381.049,835.799,807.060,1287.277,1871.864,2139.341,2435.092,2998.049,3921.719,5456.700,7656.916,10694.481,15317.554,22081.195,29203.913,33836.108,36615.425,35234.937,24723.721,12924.014
10,Medium variant,WORLD,,900,2060-2065,6716.715,761.661,746.488,1219.637,1785.858,2040.752,2314.613,2845.419,3744.396,5302.682,7590.341,10649.049,14995.402,21280.017,29690.857,36590.496,38451.454,36762.714,27746.888,15962.783
11,Medium variant,WORLD,,900,2065-2070,6126.472,694.524,689.749,1152.493,1699.535,1945.811,2203.983,2702.695,3558.137,5083.081,7409.631,10591.768,15004.366,20952.353,28734.792,37608.928,42344.948,39291.046,29585.874,18849.216
12,Medium variant,WORLD,,900,2070-2075,5612.935,634.970,638.405,1086.111,1609.989,1846.449,2092.704,2564.873,3375.689,4841.484,7124.436,10357.487,14975.709,21076.407,28426.715,36637.713,44144.678,44159.669,32323.907,21149.281
13,Medium variant,WORLD,,900,2075-2080,5139.279,580.757,591.471,1022.064,1519.176,1743.325,1979.506,2430.705,3204.625,4612.078,6815.815,9988.272,14716.757,21188.992,28841.447,36569.617,43422.029,46817.660,37198.900,23859.278
14,Medium variant,WORLD,,900,2080-2085,4731.097,533.875,550.058,965.914,1437.896,1646.440,1869.303,2300.484,3042.193,4397.000,6518.143,9571.107,14228.355,20923.486,29220.253,37486.201,43721.615,46471.423,40157.514,28160.970
15,Medium variant,WORLD,,900,2085-2090,4354.831,489.251,509.960,910.674,1358.451,1551.554,1756.864,2164.345,2874.028,4182.022,6231.578,9162.803,13664.995,20312.340,29052.758,38403.389,45344.262,47177.076,40380.180,31905.340
16,Medium variant,WORLD,,900,2090-2095,4004.097,446.902,470.645,854.170,1278.802,1458.750,1646.712,2025.331,2697.478,3958.261,5946.240,8775.895,13128.726,19614.249,28404.186,38621.663,47146.829,49618.233,41518.354,33628.669
17,Medium variant,WORLD,,900,2095-2100,3682.556,406.933,432.657,797.402,1197.855,1366.188,1539.820,1888.206,2514.449,3715.299,5634.681,8374.725,12604.251,18927.769,27582.248,38077.147,48002.276,52356.130,44341.148,35427.230
18,Medium variant,More developed regions,a,901,2015-2020,209.939,20.388,31.710,82.249,171.689,271.527,378.368,466.262,603.898,870.354,1358.255,2040.509,2675.390,3157.166,3489.803,4165.315,4718.064,4271.997,2598.135,902.128
19,Medium variant,More developed regions,a,901,2020-2025,178.068,18.126,29.401,75.140,145.494,214.729,324.390,442.589,570.255,818.694,1211.733,1825.190,2564.920,3213.143,3834.444,4305.685,4834.988,4701.018,3079.590,1271.992
20,Medium variant,More developed regions,a,901,2025-2030,150.374,15.630,26.122,69.993,135.939,181.232,250.420,377.216,541.311,773.777,1142.512,1637.205,2308.260,3103.447,3915.943,4762.085,5221.604,5062.142,3569.406,1615.231
21,Medium variant,More developed regions,a,901,2030-2035,129.824,13.428,22.816,63.054,127.860,170.583,208.826,291.372,467.427,737.543,1082.782,1548.906,2085.691,2818.507,3817.084,4882.990,5849.554,5774.290,4057.288,1992.113
22,Medium variant,More developed regions,a,901,2035-2040,116.386,11.613,19.707,56.022,116.711,161.873,196.495,243.688,368.219,646.417,1036.006,1470.529,1976.111,2564.435,3510.145,4834.234,6082.904,6641.026,4922.989,2417.229
23,Medium variant,More developed regions,a,901,2040-2045,107.265,10.431,17.412,50.105,106.365,151.310,190.941,232.676,312.802,519.890,915.137,1405.768,1870.203,2422.777,3214.572,4538.530,6190.604,7112.370,5846.755,3100.654
24,Medium variant,More developed regions,a,901,2045-2050,98.739,9.769,15.792,44.666,95.677,137.283,177.726,225.363,297.076,443.010,741.374,1243.723,1791.308,2304.286,3056.256,4244.992,6030.419,7544.180,6510.929,3868.284
25,Medium variant,More developed regions,a,901,2050-2055,90.391,9.127,14.646,40.820,86.165,122.968,159.521,208.874,287.171,420.767,636.367,1012.569,1591.752,2224.853,2933.053,4075.925,5801.927,7676.479,7222.080,4547.618
26,Medium variant,More developed regions,a,901,2055-2060,82.439,8.425,13.643,37.997,79.054,110.062,140.744,185.924,265.577,405.485,604.679,871.563,1303.323,1996.642,2855.325,3940.296,5634.741,7621.207,7656.231,5299.981
27,Medium variant,More developed regions,a,901,2060-2065,75.704,7.696,12.610,35.488,73.909,100.800,124.585,163.133,237.109,375.419,582.700,830.706,1129.302,1657.919,2602.016,3871.507,5508.486,7550.193,7871.255,5937.161
28,Medium variant,More developed regions,a,901,2065-2070,70.580,6.954,11.365,32.606,68.716,93.670,112.935,143.302,208.062,335.677,538.587,800.117,1077.873,1444.792,2194.190,3584.571,5469.851,7526.015,8007.169,6426.656
29,Medium variant,More developed regions,a,901,2070-2075,66.707,6.420,10.325,29.784,63.199,86.644,104.264,129.238,183.031,296.370,484.082,742.505,1043.769,1387.764,1934.928,3108.197,5195.413,7655.286,8228.993,6853.363
30,Medium variant,More developed regions,a,901,2075-2080,62.796,6.019,9.521,27.131,57.520,78.819,95.463,118.759,165.146,261.658,428.576,667.434,969.841,1348.425,1865.331,2783.449,4656.622,7522.471,8621.401,7328.356
31,Medium variant,More developed regions,a,901,2080-2085,58.858,5.681,8.772,24.681,52.066,70.988,86.174,108.628,151.924,236.718,380.219,592.147,874.301,1260.578,1823.873,2705.809,4262.709,7069.852,8817.588,7982.587
32,Medium variant,More developed regions,a,901,2085-2090,54.613,5.270,8.149,22.753,47.419,63.919,77.049,97.993,139.707,218.862,345.598,526.811,778.485,1145.106,1719.601,2665.046,4175.595,6702.981,8680.532,8587.961
33,Medium variant,More developed regions,a,901,2090-2095,50.682,4.893,7.511,20.884,43.349,57.642,68.493,86.925,125.851,200.991,319.039,478.371,692.357,1022.758,1572.759,2528.647,4126.220,6695.548,8558.278,8966.314
34,Medium variant,More developed regions,a,901,2095-2100,47.601,4.521,6.896,19.224,39.748,52.396,61.499,77.270,112.209,181.895,294.148,443.960,632.624,916.882,1420.661,2347.972,3967.317,6738.770,8812.225,9296.399
35,Medium variant,Less developed regions,b,902,2015-2020,16198.863,1612.800,1424.965,1837.093,2480.944,2773.802,3024.617,3370.281,3931.163,4905.892,6216.018,7798.363,9982.667,11924.258,12690.100,12612.018,10529.309,6687.266,2874.539,855.674
36,Medium variant,Less developed regions,b,902,2020-2025,14545.351,1498.543,1330.422,1754.268,2368.210,2631.371,2951.951,3435.158,4006.459,4989.453,6529.744,8532.565,10913.466,13736.499,15380.814,14152.262,11637.007,7871.145,3651.859,1189.261
37,Medium variant,Less developed regions,b,902,2025-2030,13102.119,1379.190,1234.632,1681.384,2295.893,2536.253,2822.463,3384.454,4120.610,5119.276,6663.314,9011.727,12036.582,15073.237,17839.221,17521.632,13423.758,8954.198,4435.097,1578.064
38,Medium variant,Less developed regions,b,902,2030-2035,11861.027,1271.910,1146.393,1608.564,2232.835,2480.628,2739.541,3267.918,4113.378,5340.144,6881.121,9180.438,12707.854,16689.744,19640.220,20483.890,17064.099,10679.187,5207.391,2000.031
39,Medium variant,Less developed regions,b,902,2035-2040,10763.883,1174.023,1063.658,1526.290,2149.007,2416.762,2679.514,3176.736,3990.645,5381.682,7250.276,9499.064,12915.012,17690.979,22010.162,22953.291,20369.617,14051.679,6447.057,2445.610
40,Medium variant,Less developed regions,b,902,2040-2045,9809.684,1084.015,991.417,1450.074,2053.499,2329.647,2612.224,3114.018,3896.674,5242.603,7337.285,10034.897,13302.917,17883.248,23418.349,26100.038,23376.846,17205.636,8808.767,3125.472
41,Medium variant,Less developed regions,b,902,2045-2050,8936.887,996.792,922.098,1378.109,1956.737,2220.809,2512.342,3035.806,3832.936,5144.256,7165.355,10179.812,14112.615,18429.604,23694.971,28115.438,27246.950,20398.117,11108.116,4386.999
42,Medium variant,Less developed regions,b,902,2050-2055,8058.847,907.422,855.498,1312.983,1871.979,2119.874,2401.403,2933.314,3764.591,5104.765,7067.114,9942.390,14352.090,19666.616,24459.719,28636.946,29911.113,24489.053,13689.898,5845.715
43,Medium variant,Less developed regions,b,902,2055-2060,7298.610,827.374,793.417,1249.280,1792.810,2029.279,2294.348,2812.125,3656.142,5051.215,7052.237,9822.918,14014.231,20084.553,26348.588,29895.812,30980.684,27613.730,17067.490,7624.033
44,Medium variant,Less developed regions,b,902,2060-2065,6641.011,753.965,733.878,1184.149,1711.949,1939.952,2190.028,2682.286,3507.287,4927.263,7007.641,9818.343,13866.100,19622.098,27088.841,32718.989,32942.968,29212.521,19875.633,10025.622
45,Medium variant,Less developed regions,b,902,2065-2070,6055.892,687.570,678.384,1119.887,1630.819,1852.141,2091.048,2559.393,3350.075,4747.404,6871.044,9791.651,13926.493,19507.561,26540.602,34024.357,36875.097,31765.031,21578.705,12422.560
46,Medium variant,Less developed regions,b,902,2070-2075,5546.228,628.550,628.080,1056.327,1546.790,1759.805,1988.440,2435.635,3192.658,4545.114,6640.354,9614.982,13931.940,19688.643,26491.787,33529.516,38949.265,36504.383,24094.914,14295.918
47,Medium variant,Less developed regions,b,902,2075-2080,5076.483,574.738,581.950,994.933,1461.656,1664.506,1884.043,2311.946,3039.479,4350.420,6387.239,9320.838,13746.916,19840.567,26976.116,33786.168,38765.407,39295.189,28577.499,16530.922
48,Medium variant,Less developed regions,b,902,2080-2085,4672.239,528.194,541.286,941.233,1385.830,1575.452,1783.129,2191.856,2890.269,4160.282,6137.924,8978.960,13354.054,19662.908,27396.380,34780.392,39458.906,39401.571,31339.926,20178.383
49,Medium variant,Less developed regions,b,902,2085-2090,4300.218,483.981,501.811,887.921,1311.032,1487.635,1679.815,2066.352,2734.321,3963.160,5885.980,8635.992,12886.510,19167.234,27333.157,35738.343,41168.667,40474.095,31699.648,23317.379
50,Medium variant,Less developed regions,b,902,2090-2095,3953.415,442.009,463.134,833.286,1235.453,1401.108,1578.219,1938.406,2571.627,3757.270,5627.201,8297.524,12436.369,18591.491,26831.427,36093.016,43020.609,42922.685,32960.076,24662.355
51,Medium variant,Less developed regions,b,902,2095-2100,3634.955,402.412,425.761,778.178,1158.107,1313.792,1478.321,1810.936,2402.240,3533.404,5340.533,7930.765,11971.627,18010.887,26161.587,35729.175,44034.959,45617.360,35528.923,26130.831
52,Medium variant,Least developed countries,c,941,2015-2020,6371.067,650.444,500.555,564.810,663.184,643.875,634.399,663.259,685.016,735.548,815.050,922.431,1045.581,1176.882,1274.774,1197.676,930.692,549.731,210.742,54.406
53,Medium variant,Least developed countries,c,941,2020-2025,5938.300,617.168,478.960,571.153,690.608,676.635,662.100,700.970,743.107,807.024,904.608,1046.101,1207.791,1346.014,1431.076,1350.064,1058.962,634.541,261.662,79.079
54,Medium variant,Least developed countries,c,941,2025-2030,5539.899,582.399,456.528,568.571,709.328,707.255,697.485,733.959,790.720,886.415,1005.025,1171.805,1384.476,1574.935,1660.484,1544.706,1217.914,739.098,311.341,105.666
55,Medium variant,Least developed countries,c,941,2030-2035,5176.460,547.406,435.885,563.741,718.100,729.571,729.623,775.426,835.332,957.554,1121.603,1314.918,1563.915,1824.062,1962.723,1817.022,1417.135,865.156,372.182,133.570
56,Medium variant,Least developed countries,c,941,2035-2040,4816.485,513.251,417.115,560.098,723.666,744.108,755.564,815.638,894.540,1031.433,1235.481,1489.602,1776.415,2085.480,2298.943,2173.622,1691.636,1020.791,444.217,166.280
57,Medium variant,Least developed countries,c,941,2040-2045,4484.158,481.215,401.489,559.417,731.941,757.242,776.735,851.669,954.312,1123.748,1350.447,1656.137,2025.735,2380.342,2644.113,2568.748,2059.219,1244.314,529.432,204.154
58,Medium variant,Least developed countries,c,941,2045-2050,4176.135,448.501,383.228,555.095,736.037,764.958,788.670,874.795,1001.429,1212.952,1488.442,1822.711,2269.471,2738.473,3049.052,2998.822,2484.055,1567.556,663.984,246.175
59,Medium variant,Least developed countries,c,941,2050-2055,3870.914,414.420,363.327,546.550,735.447,768.985,796.976,891.192,1036.533,1289.005,1626.584,2024.367,2517.588,3094.471,3542.507,3510.669,2955.843,1944.136,879.042,315.069
60,Medium variant,Least developed countries,c,941,2055-2060,3596.469,384.168,344.137,534.664,729.824,770.137,804.098,905.586,1064.208,1348.163,1745.853,2224.286,2813.251,3456.683,4033.613,4130.786,3513.105,2358.115,1131.467,443.922
61,Medium variant,Least developed countries,c,941,2060-2065,3355.196,356.645,324.715,519.269,717.829,764.218,804.952,913.630,1083.983,1392.761,1837.818,2395.687,3106.970,3888.101,4543.962,4769.159,4211.296,2857.178,1407.880,616.684
62,Medium variant,Least developed countries,c,941,2065-2070,3131.485,331.714,307.149,503.139,702.439,753.410,800.273,916.020,1097.564,1430.021,1913.102,2530.311,3363.214,4320.766,5151.846,5446.567,4946.878,3506.133,1745.336,810.693
63,Medium variant,Least developed countries,c,941,2070-2075,2920.647,308.381,290.228,486.035,684.073,737.589,789.154,910.765,1102.718,1457.672,1977.363,2641.076,3569.529,4705.500,5770.871,6261.310,5750.274,4204.422,2205.823,1040.122
64,Medium variant,Least developed countries,c,941,2075-2080,2725.943,286.469,273.841,468.333,663.893,718.554,772.690,898.032,1098.526,1474.213,2028.451,2737.656,3742.772,5021.540,6329.658,7102.152,6726.188,4992.434,2709.629,1358.456
65,Medium variant,Least developed countries,c,941,2080-2085,2537.964,265.329,257.830,450.117,642.649,697.863,752.919,879.313,1085.263,1477.681,2064.154,2816.541,3896.432,5293.615,6802.721,7882.354,7751.924,5964.131,3292.196,1726.277
66,Medium variant,Least developed countries,c,941,2085-2090,2356.569,244.922,241.687,430.333,618.694,673.987,729.154,854.653,1062.433,1466.473,2079.355,2872.837,4025.362,5541.903,7223.859,8574.239,8732.606,7003.040,4019.524,2144.020
67,Medium variant,Least developed countries,c,941,2090-2095,2184.851,225.839,225.713,409.034,592.158,647.466,702.454,825.744,1032.074,1441.099,2071.697,2897.643,4118.331,5751.446,7610.299,9206.600,9639.316,8022.589,4814.580,2657.601
68,Medium variant,Least developed countries,c,941,2095-2100,2017.953,207.416,209.847,386.445,562.579,617.303,672.207,792.247,994.801,1402.887,2040.910,2887.152,4162.692,5906.634,7941.076,9797.605,10505.336,9011.994,5609.840,3239.102
69,Medium variant,"Less developed regions, excluding least developed countries",d,934,2015-2020,9827.796,962.356,924.410,1272.283,1817.760,2129.927,2390.218,2707.022,3246.147,4170.344,5400.968,6875.932,8937.086,10747.376,11415.326,11414.342,9598.617,6137.535,2663.797,801.268
70,Medium variant,"Less developed regions, excluding least developed countries",d,934,2020-2025,8607.051,881.375,851.462,1183.115,1677.602,1954.736,2289.851,2734.188,3263.352,4182.429,5625.136,7486.464,9705.675,12390.485,13949.738,12802.198,10578.045,7236.604,3390.197,1110.182
71,Medium variant,"Less developed regions, excluding least developed countries",d,934,2025-2030,7562.220,796.791,778.104,1112.813,1586.565,1828.998,2124.978,2650.495,3329.890,4232.861,5658.289,7839.922,10652.106,13498.302,16178.737,15976.926,12205.844,8215.100,4123.756,1472.398
72,Medium variant,"Less developed regions, excluding least developed countries",d,934,2030-2035,6684.567,724.504,710.508,1044.823,1514.735,1751.057,2009.918,2492.492,3278.046,4382.590,5759.518,7865.520,11143.939,14865.682,17677.497,18666.868,15646.964,9814.031,4835.209,1866.461
73,Medium variant,"Less developed regions, excluding least developed countries",d,934,2035-2040,5947.398,660.772,646.543,966.192,1425.341,1672.654,1923.950,2361.098,3096.105,4350.249,6014.795,8009.462,11138.597,15605.499,19711.219,20779.669,18677.981,13030.888,6002.840,2279.330
74,Medium variant,"Less developed regions, excluding least developed countries",d,934,2040-2045,5325.526,602.800,589.928,890.657,1321.558,1572.405,1835.489,2262.349,2942.362,4118.855,5986.838,8378.760,11277.182,15502.906,20774.236,23531.290,21317.627,15961.322,8279.335,2921.318
75,Medium variant,"Less developed regions, excluding least developed countries",d,934,2045-2050,4760.752,548.291,538.870,823.014,1220.700,1455.851,1723.672,2161.011,2831.507,3931.304,5676.913,8357.101,11843.144,15691.131,20645.919,25116.616,24762.895,18830.561,10444.132,4140.824
76,Medium variant,"Less developed regions, excluding least developed countries",d,934,2050-2055,4187.933,493.002,492.171,766.433,1136.532,1350.889,1604.427,2042.122,2728.058,3815.760,5440.530,7918.023,11834.502,16572.145,20917.212,25126.277,26955.270,22544.917,12810.856,5530.646
77,Medium variant,"Less developed regions, excluding least developed countries",d,934,2055-2060,3702.141,443.206,449.280,714.616,1062.986,1259.142,1490.250,1906.539,2591.934,3703.052,5306.384,7598.632,11200.980,16627.870,22314.975,25765.026,27467.579,25255.615,15936.023,7180.111
78,Medium variant,"Less developed regions, excluding least developed countries",d,934,2060-2065,3285.815,397.320,409.163,664.880,994.120,1175.734,1385.076,1768.656,2423.304,3534.502,5169.823,7422.656,10759.130,15733.997,22544.879,27949.830,28731.672,26355.343,18467.753,9408.938
79,Medium variant,"Less developed regions, excluding least developed countries",d,934,2065-2070,2924.407,355.856,371.235,616.748,928.380,1098.731,1290.775,1643.373,2252.511,3317.383,4957.942,7261.340,10563.279,15186.795,21388.756,28577.790,31928.219,28258.898,19833.369,11611.867
80,Medium variant,"Less developed regions, excluding least developed countries",d,934,2070-2075,2625.581,320.169,337.852,570.292,862.717,1022.216,1199.286,1524.870,2089.940,3087.442,4662.991,6973.906,10362.411,14983.143,20720.916,27268.206,33198.991,32299.961,21889.091,13255.796
81,Medium variant,"Less developed regions, excluding least developed countries",d,934,2075-2080,2350.540,288.269,308.109,526.600,797.763,945.952,1111.353,1413.914,1940.953,2876.207,4358.788,6583.182,10004.144,14819.027,20646.458,26684.016,32039.219,34302.755,25867.870,15172.466
82,Medium variant,"Less developed regions, excluding least developed countries",d,934,2080-2085,2134.275,262.865,283.456,491.116,743.181,877.589,1030.210,1312.543,1805.006,2682.601,4073.770,6162.419,9457.622,14369.293,20593.659,26898.038,31706.982,33437.440,28047.730,18452.106
