time,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95+
1950-1955,12.360,1.383,0.638,0.743,0.971,0.873,0.711,0.671,0.684,0.699,0.709,0.721,0.751,0.751,0.656,0.444,0.201,0.040,0.004,0.000
1955-1960,14.965,1.396,0.629,0.774,1.145,1.104,0.846,0.713,0.705,0.772,0.868,0.911,0.845,0.759,0.645,0.422,0.180,0.037,0.004,0.000
1960-1965,16.704,1.671,0.696,0.799,1.127,1.194,1.048,0.889,0.784,0.788,0.923,1.098,1.131,0.926,0.682,0.440,0.184,0.037,0.004,0.000
1965-1970,16.318,1.590,0.695,0.852,1.250,1.189,1.006,0.930,0.878,0.857,0.919,1.126,1.276,1.166,0.828,0.466,0.196,0.045,0.005,0.000
1970-1975,16.445,1.612,0.673,0.730,1.074,1.134,0.941,0.820,0.778,0.808,0.890,1.022,1.266,1.310,1.015,0.571,0.216,0.050,0.006,0.000
1975-1980,16.501,1.564,0.675,0.738,1.004,0.935,0.810,0.745,0.691,0.700,0.823,0.990,1.147,1.364,1.274,0.789,0.310,0.070,0.008,0.001
1980-1985,16.665,1.538,0.665,0.709,0.919,0.914,0.734,0.673,0.672,0.663,0.727,0.931,1.152,1.282,1.393,1.084,0.482,0.115,0.013,0.000
1985-1990,17.397,1.627,0.696,0.808,1.011,0.917,0.803,0.709,0.702,0.735,0.767,0.894,1.146,1.385,1.431,1.266,0.718,0.198,0.024,0.001
1990-1995,17.850,1.690,0.862,0.926,1.190,1.139,0.957,0.884,0.820,0.851,0.930,1.021,1.225,1.552,1.752,1.472,0.906,0.317,0.050,0.003
1995-2000,17.055,1.689,0.962,1.084,1.272,1.154,1.022,0.949,0.943,0.928,1.018,1.182,1.342,1.639,1.980,1.825,1.070,0.394,0.082,0.006
2000-2005,16.393,1.665,1.011,1.152,1.425,1.242,1.047,1.005,0.991,1.043,1.090,1.263,1.508,1.729,2.035,2.037,1.336,0.475,0.100,0.009
2005-2010,15.572,1.689,1.136,1.248,1.538,1.418,1.170,1.089,1.114,1.160,1.281,1.396,1.644,1.962,2.156,2.111,1.508,0.613,0.123,0.011
2010-2015,15.309,1.630,1.269,1.381,1.652,1.524,1.342,1.219,1.213,1.310,1.429,1.641,1.811,2.127,2.439,2.255,1.589,0.695,0.164,0.014
