time,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,80-84,85-89,90-94,95-99,100+
1950,22.541,17.303,15.139,13.449,11.819,10.256,8.865,7.608,6.434,5.341,4.327,3.382,2.494,1.677,0.962,0.427,0.150,…,…,…,…,…
1951,22.253,17.426,15.307,13.853,12.126,10.355,8.846,7.629,6.533,5.483,4.399,3.370,2.468,1.658,0.955,0.435,0.165,…,…,…,…,…
1952,21.647,17.668,15.577,14.384,12.678,10.670,8.967,7.717,6.692,5.694,4.573,3.432,2.474,1.660,0.956,0.437,0.176,…,…,…,…,…
1953,21.298,17.933,15.900,14.947,13.420,11.169,9.210,7.853,6.884,5.941,4.831,3.562,2.507,1.678,0.958,0.434,0.176,…,…,…,…,…
1954,21.663,18.119,16.215,15.477,14.270,11.825,9.569,8.024,7.082,6.197,5.141,3.756,2.563,1.707,0.963,0.422,0.163,…,…,…,…,…
1955,23.040,18.138,16.448,15.938,15.128,12.613,10.032,8.231,7.264,6.446,5.474,4.007,2.655,1.739,0.966,0.404,0.130,…,…,…,…,…
1956,24.575,18.674,16.558,16.242,16.001,13.621,10.618,8.435,7.391,6.674,5.810,4.290,2.759,1.763,0.994,0.428,0.151,…,…,…,…,…
1957,26.761,19.228,16.681,16.348,16.655,14.737,11.339,8.697,7.462,6.852,6.112,4.636,2.907,1.772,1.013,0.443,0.162,…,…,…,…,…
1958,29.281,19.780,16.858,16.269,17.034,15.882,12.195,9.043,7.490,6.973,6.355,5.031,3.107,1.779,1.028,0.445,0.165,…,…,…,…,…
1959,31.598,20.406,17.077,16.069,17.164,16.938,13.174,9.499,7.520,7.030,6.540,5.433,3.364,1.803,1.031,0.437,0.156,…,…,…,…,…
1960,33.163,21.217,17.286,15.833,17.094,17.792,14.261,10.095,7.604,7.029,6.677,5.810,3.680,1.875,1.023,0.419,0.130,…,…,…,…,…
1961,34.612,22.251,18.048,16.299,16.718,17.543,14.700,10.666,7.866,7.013,6.660,5.858,3.892,1.996,1.035,0.446,0.150,…,…,…,…,…
1962,35.060,23.217,18.649,16.993,16.572,17.161,15.084,11.195,8.209,7.012,6.658,5.887,4.103,2.136,1.034,0.466,0.163,…,…,…,…,…
1963,34.752,24.102,19.104,17.823,16.725,16.779,15.415,11.672,8.631,7.064,6.672,5.940,4.304,2.293,1.039,0.477,0.168,…,…,…,…,…
1964,34.415,24.785,19.474,18.643,17.184,16.539,15.642,12.098,9.103,7.197,6.700,6.030,4.480,2.460,1.068,0.473,0.163,…,…,…,…,…
1965,34.828,25.055,19.791,19.329,17.879,16.535,15.746,12.482,9.576,7.421,6.747,6.145,4.640,2.635,1.125,0.457,0.139,…,…,…,…,…
1966,35.960,25.568,19.896,19.812,18.868,16.807,15.626,12.679,9.950,7.707,6.797,6.224,4.758,2.795,1.220,0.478,0.164,…,…,…,…,…
1967,37.440,26.186,19.988,19.888,19.975,17.465,15.515,12.889,10.203,8.077,6.873,6.308,4.915,2.946,1.323,0.487,0.183,…,…,…,…,…
1968,39.318,26.932,20.075,19.561,21.029,18.474,15.510,13.091,10.318,8.491,6.983,6.384,5.119,3.082,1.427,0.491,0.193,…,…,…,…,…
1969,41.316,27.851,20.166,19.001,21.846,19.738,15.774,13.264,10.349,8.878,7.156,6.472,5.357,3.217,1.526,0.504,0.189,…,…,…,…,…
1970,43.142,28.978,20.294,18.390,22.289,21.122,16.426,13.426,10.367,9.166,7.404,6.587,5.595,3.380,1.623,0.525,0.163,…,…,…,…,…
1971,44.800,30.685,21.950,18.969,21.700,21.324,16.780,13.516,10.499,9.274,7.563,6.539,5.656,3.589,1.742,0.597,0.185,…,…,…,…,…
1972,46.107,32.326,23.495,19.992,21.274,21.501,17.325,13.545,10.712,9.275,7.846,6.513,5.680,3.831,1.859,0.669,0.201,…,…,…,…,…
1973,47.197,33.918,24.805,21.267,21.198,21.604,17.980,13.573,10.956,9.180,8.198,6.523,5.680,4.083,1.978,0.731,0.214,…,…,…,…,…
1974,48.318,35.370,25.851,22.556,21.575,21.638,18.599,13.687,11.146,9.060,8.509,6.591,5.676,4.298,2.111,0.784,0.221,…,…,…,…,…
1975,49.661,36.575,26.711,23.667,22.339,21.706,19.084,13.945,11.227,8.974,8.685,6.740,5.683,4.449,2.267,0.832,0.215,…,…,…,…,…
1976,51.019,38.430,27.906,24.709,22.938,21.134,19.032,14.317,11.333,9.029,8.700,6.948,5.669,4.535,2.469,0.929,0.260,…,…,…,…,…
1977,52.698,39.845,29.340,25.346,23.936,20.901,18.625,14.739,11.332,9.157,8.549,7.254,5.647,4.567,2.685,1.010,0.302,…,…,…,…,…
1978,54.669,40.822,31.105,25.584,25.223,21.237,17.969,15.148,11.310,9.326,8.311,7.612,5.654,4.578,2.905,1.088,0.336,…,…,…,…,…
1979,56.873,41.596,32.999,25.761,26.601,22.188,17.357,15.410,11.374,9.482,8.117,7.926,5.745,4.604,3.096,1.178,0.361,…,…,…,…,…
1980,59.399,42.481,34.673,26.258,27.827,23.649,17.130,15.425,11.562,9.589,8.039,8.127,5.959,4.665,3.251,1.294,0.372,…,…,…,…,…
1981,62.438,44.318,36.315,27.514,27.546,24.531,17.860,15.625,12.069,9.770,8.043,8.004,6.143,4.622,3.281,1.444,0.442,…,…,…,…,…
1982,64.860,46.608,37.760,29.617,27.201,25.481,18.956,15.690,12.796,9.965,8.227,7.804,6.444,4.611,3.290,1.602,0.501,…,…,…,…,…
1983,67.052,49.314,39.091,32.206,27.100,26.412,20.301,15.759,13.638,10.214,8.535,7.603,6.778,4.658,3.301,1.738,0.551,…,…,…,…,…
1984,69.522,52.238,40.556,34.783,27.626,27.234,21.705,16.063,14.427,10.588,8.886,7.507,7.047,4.793,3.331,1.834,0.598,…,…,…,…,…
1985,72.655,55.073,42.370,37.040,28.938,27.944,23.053,16.736,15.059,11.135,9.231,7.571,7.207,5.021,3.395,1.889,0.631,…,…,…,…,…
1986,75.630,58.121,44.655,39.647,31.565,28.717,24.216,17.584,15.423,11.754,9.491,7.693,7.191,5.254,3.446,1.956,0.760,…,…,…,…,…
1987,78.895,61.186,47.267,41.664,35.008,29.715,25.485,18.745,15.614,12.588,9.733,7.962,7.110,5.558,3.520,2.004,0.875,…,…,…,…,…
1988,82.324,64.077,50.102,43.084,38.798,31.143,26.793,20.077,15.739,13.505,9.982,8.310,7.018,5.854,3.633,2.039,0.963,…,…,…,…,…
1989,85.547,66.656,52.837,44.201,42.243,33.186,28.094,21.386,15.987,14.293,10.304,8.643,6.991,6.065,3.792,2.076,1.000,…,…,…,…,…
1990,88.247,68.900,55.174,45.332,44.838,35.810,29.447,22.582,16.464,14.815,10.742,8.905,7.061,6.163,3.987,2.119,…,0.831,0.148,0.012,0.000,0.000
1991,91.577,72.118,58.004,46.478,44.919,37.148,30.282,23.705,17.136,15.093,11.347,9.109,7.244,6.252,4.188,2.208,…,0.899,0.195,0.015,0.000,0.000
1992,94.390,74.813,60.656,48.274,44.348,38.588,30.861,24.678,17.996,15.081,12.069,9.235,7.468,6.262,4.429,2.282,…,0.937,0.236,0.020,0.001,0.000
1993,96.804,77.001,63.134,50.589,43.617,39.914,31.348,25.507,18.980,14.953,12.803,9.363,7.706,6.243,4.689,2.357,…,0.949,0.257,0.025,0.002,0.000
1994,99.111,78.817,65.464,53.134,43.380,40.838,31.953,26.218,19.968,14.956,13.384,9.597,7.916,6.265,4.928,2.462,…,0.943,0.256,0.028,0.002,0.000
1995,101.623,80.406,67.605,55.685,44.001,41.281,32.767,26.852,20.875,15.240,13.741,9.978,8.092,6.364,5.117,2.614,…,0.938,0.230,0.022,0.000,0.000
1996,104.809,82.516,69.511,58.171,45.418,41.260,33.528,27.189,21.576,15.679,13.823,10.427,8.201,6.457,5.110,2.775,…,1.023,0.263,0.032,0.001,0.000
1997,107.754,84.731,71.242,60.566,47.662,41.031,34.543,27.435,22.176,16.357,13.707,11.012,8.297,6.611,5.087,2.949,…,1.080,0.286,0.043,0.003,0.000
1998,110.648,87.058,72.854,62.805,50.496,40.964,35.632,27.702,22.662,17.186,13.527,11.619,8.429,6.780,5.105,3.112,…,1.114,0.294,0.049,0.003,0.000
1999,113.729,89.457,74.450,64.883,53.522,41.534,36.559,28.125,23.057,18.010,13.494,12.102,8.663,6.942,5.202,3.239,…,1.138,0.288,0.050,0.003,0.000
2000,117.290,91.820,76.099,66.807,56.439,42.974,37.261,28.756,23.399,18.711,13.717,12.385,9.014,7.096,5.366,3.340,…,1.169,0.264,0.035,0.002,0.000
2001,121.525,95.206,78.252,68.295,58.359,44.503,37.841,29.802,23.955,19.385,14.175,12.456,9.375,7.149,5.351,3.388,…,1.316,0.308,0.044,0.003,0.000
2002,125.426,98.896,80.758,69.896,60.270,46.669,38.157,31.105,24.507,20.027,14.886,12.381,9.873,7.223,5.381,3.401,…,1.445,0.334,0.052,0.005,0.000
2003,129.206,102.761,83.515,71.623,62.175,49.246,38.435,32.501,25.092,20.641,15.750,12.277,10.410,7.333,5.459,3.407,…,1.526,0.347,0.058,0.006,0.000
2004,133.027,106.624,86.433,73.521,64.090,51.874,39.053,33.727,25.795,21.240,16.611,12.318,10.851,7.524,5.578,3.423,…,1.549,0.350,0.058,0.007,0.000
2005,137.026,110.292,89.455,75.611,66.021,54.334,40.248,34.644,26.660,21.828,17.374,12.599,11.125,7.818,5.719,3.464,…,1.524,0.339,0.041,0.003,0.000
2006,141.209,114.477,92.822,77.704,67.528,56.388,41.897,35.286,27.729,22.371,18.034,13.043,11.190,8.135,5.735,3.514,…,1.609,0.415,0.051,0.004,0.000
2007,145.099,118.627,96.427,80.097,69.061,58.311,44.075,35.616,29.014,22.890,18.646,13.705,11.121,8.566,5.758,3.560,…,1.655,0.477,0.059,0.006,0.000
2008,148.850,122.678,100.188,82.775,70.712,60.142,46.577,35.881,30.362,23.448,19.223,14.497,11.028,9.021,5.838,3.607,…,1.663,0.504,0.068,0.007,0.000
2009,152.655,126.590,104.006,85.712,72.588,61.945,49.082,36.468,31.530,24.133,19.788,15.288,11.077,9.388,6.017,3.657,…,1.640,0.496,0.070,0.007,0.000
2010,156.705,130.327,107.781,88.862,74.740,63.780,51.394,37.599,32.397,24.993,20.355,16.002,11.353,9.617,6.301,3.720,…,1.602,0.448,0.052,0.003,0.000
2011,160.984,134.534,111.722,92.082,76.847,65.391,53.509,39.232,33.030,25.998,20.863,16.600,11.748,9.643,6.521,3.779,…,1.696,0.508,0.073,0.004,0.000
2012,165.240,138.663,115.696,95.561,79.235,67.006,55.461,41.374,33.359,27.223,21.351,17.159,12.339,9.571,6.828,3.812,…,1.759,0.545,0.091,0.007,0.000
2013,169.485,142.694,119.662,99.234,81.909,68.716,57.274,43.836,33.612,28.523,21.880,17.692,13.045,9.491,7.172,3.856,…,1.786,0.552,0.104,0.008,0.000
2014,173.660,146.628,123.596,103.020,84.863,70.630,59.030,46.296,34.169,29.666,22.538,18.220,13.753,9.542,7.466,3.948,…,1.777,0.531,0.101,0.009,0.000
2015,177.744,150.478,127.467,106.849,88.067,72.813,60.807,48.549,35.257,30.523,23.372,18.756,14.399,9.799,7.668,4.110,…,1.746,0.479,0.072,0.004,0.000
