time,age,age_interval,survival_ratio
1950-1955,0,1,0.74629
1950-1955,1,4,0.81960
1950-1955,5,5,0.94671
1950-1955,10,5,0.95744
1950-1955,15,5,0.94226
1950-1955,20,5,0.93350
1950-1955,25,5,0.93011
1950-1955,30,5,0.92670
1950-1955,35,5,0.92375
1950-1955,40,5,0.92130
1950-1955,45,5,0.90715
1950-1955,50,5,0.87681
1950-1955,55,5,0.81751
1950-1955,60,5,0.72239
1950-1955,65,5,0.59513
1950-1955,70,5,0.43283
1950-1955,75,5,0.26890
1950-1955,80,5,0.13561
1950-1955,85,15,…
1955-1960,0,1,0.75710
1955-1960,1,4,0.82964
1955-1960,5,5,0.94940
1955-1960,10,5,0.95950
1955-1960,15,5,0.94500
1955-1960,20,5,0.93661
1955-1960,25,5,0.93336
1955-1960,30,5,0.93007
1955-1960,35,5,0.92711
1955-1960,40,5,0.92457
1955-1960,45,5,0.91084
1955-1960,50,5,0.88156
1955-1960,55,5,0.82443
1955-1960,60,5,0.73247
1955-1960,65,5,0.60846
1955-1960,70,5,0.44889
1955-1960,75,5,0.28458
1955-1960,80,5,0.14548
1955-1960,85,15,…
1960-1965,0,1,0.76741
1960-1965,1,4,0.83907
1960-1965,5,5,0.95197
1960-1965,10,5,0.96147
1960-1965,15,5,0.94761
1960-1965,20,5,0.93957
1960-1965,25,5,0.93646
1960-1965,30,5,0.93328
1960-1965,35,5,0.93030
1960-1965,40,5,0.92768
1960-1965,45,5,0.91435
1960-1965,50,5,0.88608
1960-1965,55,5,0.83102
1960-1965,60,5,0.74209
1960-1965,65,5,0.62117
1960-1965,70,5,0.46419
1960-1965,75,5,0.29963
1960-1965,80,5,0.15509
1960-1965,85,15,…
1965-1970,0,1,0.79653
1965-1970,1,4,0.86275
1965-1970,5,5,0.95550
1965-1970,10,5,0.96425
1965-1970,15,5,0.95116
1965-1970,20,5,0.94362
1965-1970,25,5,0.94068
1965-1970,30,5,0.93766
1965-1970,35,5,0.93466
1965-1970,40,5,0.93193
1965-1970,45,5,0.91913
1965-1970,50,5,0.89225
1965-1970,55,5,0.84000
1965-1970,60,5,0.75519
1965-1970,65,5,0.63849
1965-1970,70,5,0.48502
1965-1970,75,5,0.32028
1965-1970,80,5,0.16828
1965-1970,85,15,…
1970-1975,0,1,0.82158
1970-1975,1,4,0.88554
1970-1975,5,5,0.96390
1970-1975,10,5,0.97063
1970-1975,15,5,0.95974
1970-1975,20,5,0.95335
1970-1975,25,5,0.95084
1970-1975,30,5,0.94818
1970-1975,35,5,0.94516
1970-1975,40,5,0.94214
1970-1975,45,5,0.93065
