,,,,,"Number of births, both sexes combined (thousands)",,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
1,Estimates,WORLD,,900,489395.666,513479.920,563563.922,598425.158,611094.645,608784.562,650053.852,699508.313,672523.126,653293.092,662765.903,685523.314,701346.033
2,Estimates,More developed regions,a,901,93861.903,95121.954,91805.892,84992.832,82504.554,79108.067,79218.266,78345.702,71514.131,66174.428,66064.670,69482.912,68833.523
3,Estimates,Less developed regions,b,902,395533.763,418357.966,471758.030,513432.326,528590.091,529676.495,570835.586,621162.611,601008.995,587118.664,596701.233,616040.402,632512.510
4,Estimates,Least developed countries,c,941,49554.497,54950.537,61437.744,68883.918,76910.575,85600.549,95578.355,104237.293,113403.704,123661.884,133581.661,142518.948,151052.364
5,Estimates,"Less developed regions, excluding least developed countries",d,934,345979.266,363407.429,410320.286,444548.408,451679.516,444075.946,475257.231,516925.318,487605.291,463456.780,463119.572,473521.454,481460.146
6,Estimates,"Less developed regions, excluding China",,948,270908.062,301513.981,331584.069,359157.879,389040.449,419909.782,456982.403,479389.396,490923.309,500303.294,513572.318,530587.404,544082.784
7,Estimates,High-income countries,e,1503,78044.457,80761.287,81403.538,77797.554,74806.180,70820.103,70582.803,69557.462,68722.534,65460.279,64358.605,66403.655,64969.413
8,Estimates,Middle-income countries,e,1517,379794.802,397365.359,443334.753,476775.787,487158.311,483448.429,518115.181,561750.145,527440.751,502277.393,504094.703,515738.030,524555.158
9,Estimates,Upper-middle-income countries,e,1502,202385.518,201520.266,230274.228,246607.769,237308.596,213080.218,222735.829,251383.707,211878.841,183409.608,177362.450,181185.930,187553.640
10,Estimates,Lower-middle-income countries,e,1501,177409.284,195845.093,213060.525,230168.018,249849.715,270368.211,295379.352,310366.438,315561.910,318867.785,326732.253,334552.100,337001.518
11,Estimates,Low-income countries,e,1500,31368.683,35150.302,38606.266,43626.388,48931.547,54332.061,61161.631,67982.379,76137.664,85325.039,94067.461,103128.979,111570.548
12,Estimates,Sub-Saharan Africa,f,947,45100.168,49927.750,55882.391,62657.898,71586.509,81726.293,92631.152,103536.773,114623.251,128106.840,142303.477,157394.251,172084.980
13,Estimates,AFRICA,,903,58241.996,64554.334,72022.609,80239.439,90516.116,102465.236,115292.118,127174.136,137520.337,149901.310,165033.237,182402.979,201170.811
14,Estimates,Eastern Africa,,910,17549.003,19567.263,22106.757,25043.892,28850.760,33158.833,37987.533,42984.339,47452.078,53093.105,58494.645,63964.849,69075.094
15,Estimates,Burundi,,108,597.845,642.154,706.193,780.067,841.290,969.217,1127.003,1306.833,1370.436,1346.574,1448.507,1765.260,2054.631
16,Estimates,Comoros,,174,37.704,43.648,47.073,50.368,55.045,64.159,76.195,84.729,90.496,97.562,106.361,116.423,126.320
17,Estimates,Djibouti,,262,13.491,16.392,21.958,30.850,42.948,61.240,80.044,101.534,118.584,111.775,112.909,107.827,107.994
18,Estimates,Eritrea,,232,283.746,322.715,360.718,402.126,447.005,504.196,579.706,638.849,610.675,571.287,659.806,769.391,793.282
19,Estimates,Ethiopia,,231,4688.782,5033.834,5658.644,6360.496,7406.318,8225.627,9368.801,10731.855,12302.081,14086.119,14816.251,14952.882,15775.995
20,Estimates,Kenya,,404,1672.493,1940.378,2245.319,2625.474,3141.917,3714.352,4345.705,4857.389,5098.980,5929.126,6576.851,7158.054,7335.594
21,Estimates,Madagascar,,450,1058.186,1180.312,1315.400,1483.977,1693.974,1921.424,2121.458,2406.924,2767.059,3131.901,3364.095,3606.600,3872.083
22,Estimates,Malawi,,454,772.948,876.633,1008.679,1163.349,1326.842,1530.458,1751.880,2133.832,2281.997,2411.806,2651.843,2992.414,3118.445
23,Estimates,Mauritius,1,480,115.578,132.591,154.618,131.184,115.334,123.171,100.601,108.795,111.518,103.489,96.404,81.929,69.846
24,Estimates,Mayotte,,175,3.518,4.599,6.117,7.855,9.851,12.426,14.968,18.507,19.678,24.698,29.955,35.185,35.576
25,Estimates,Mozambique,,508,1641.903,1781.213,1916.644,2094.020,2360.034,2637.035,2907.584,2979.223,3332.082,3840.589,4330.717,4800.289,5277.752
26,Estimates,Réunion,,638,66.925,70.586,78.161,77.901,63.395,58.300,62.442,70.647,70.601,71.493,75.134,72.388,70.295
