,,,,,,Number of female deaths by five-year age group (thousands),,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Period,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95+
1,Medium variant,WORLD,,900,2015-2020,13898.811,1403.338,1204.626,1401.313,1761.345,1948.072,2143.356,2388.847,2775.662,3493.636,4585.079,6167.047,8525.258,11071.382,12983.789,15278.779,16548.902,14440.354,9357.361,4393.831
2,Medium variant,WORLD,,900,2020-2025,12303.176,1267.709,1097.238,1304.752,1642.887,1802.786,2043.598,2399.975,2801.312,3502.943,4695.746,6520.212,9035.088,12320.452,15266.010,16574.572,17481.484,15943.179,10724.383,5708.056
3,Medium variant,WORLD,,900,2025-2030,10909.211,1134.050,989.310,1208.880,1550.612,1697.125,1896.963,2306.880,2844.208,3553.587,4712.380,6695.116,9626.061,13150.107,17147.647,19830.981,19403.117,17237.895,12196.007,6932.807
4,Medium variant,WORLD,,900,2030-2035,9713.698,1008.685,885.366,1107.374,1453.868,1618.241,1790.125,2147.828,2759.970,3647.491,4801.659,6712.615,9919.834,14138.621,18435.549,22471.536,23613.363,19730.955,13560.638,8265.301
5,Medium variant,WORLD,,900,2035-2040,8679.999,897.490,792.449,1009.999,1350.110,1537.458,1717.823,2037.447,2589.480,3576.814,4970.045,6845.054,9942.423,14666.348,20035.684,24458.194,27126.633,24570.621,16174.260,9694.096
6,Medium variant,WORLD,,900,2040-2045,7779.611,800.790,714.643,928.355,1257.025,1457.867,1663.363,1991.604,2498.281,3395.587,4916.739,7117.168,10123.389,14665.406,20827.618,26752.736,29849.442,28534.349,20528.663,12024.127
7,Medium variant,WORLD,,900,2045-2050,6960.120,712.941,644.070,853.756,1167.518,1367.464,1585.067,1940.476,2457.551,3286.465,4668.998,7043.165,10559.793,14981.268,20917.440,28098.787,33157.280,32128.043,24290.385,15644.194
8,Medium variant,WORLD,,900,2050-2055,6217.417,633.442,580.287,785.084,1083.573,1278.375,1493.752,1864.959,2417.490,3249.254,4521.250,6664.380,10459.033,15728.254,21484.427,28418.293,35252.717,36310.866,28040.796,19355.135
9,Medium variant,WORLD,,900,2055-2060,5584.466,566.730,525.862,725.515,1011.860,1202.586,1409.990,1776.548,2347.590,3216.998,4480.836,6439.135,9879.481,15650.726,22753.960,29410.102,35962.399,39143.917,32313.259,23371.076
10,Medium variant,WORLD,,900,2060-2065,5060.138,510.865,478.616,672.112,946.916,1134.796,1334.857,1688.063,2251.519,3137.704,4444.970,6373.870,9547.108,14826.901,22804.762,31525.220,37604.985,40440.193,35485.347,28048.542
