time,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,80-84,85-89,90-94,95-99,100+
1950,22.947,17.774,15.546,13.802,12.217,10.729,9.332,8.027,6.848,5.805,4.863,3.951,3.038,2.129,1.289,0.626,0.278,…,…,…,…,…
1951,22.568,17.948,15.928,14.278,12.361,10.639,9.241,7.966,6.802,5.760,4.817,3.902,2.984,2.085,1.262,0.619,0.296,…,…,…,…,…
1952,21.909,18.256,16.443,15.035,12.879,10.789,9.295,8.042,6.873,5.820,4.860,3.931,2.993,2.079,1.251,0.613,0.303,…,…,…,…,…
1953,21.483,18.586,16.996,15.961,13.722,11.154,9.446,8.212,7.020,5.952,4.965,4.013,3.046,2.100,1.251,0.601,0.291,…,…,…,…,…
1954,21.767,18.808,17.496,16.924,14.800,11.720,9.675,8.428,7.210,6.122,5.106,4.129,3.130,2.140,1.258,0.583,0.264,…,…,…,…,…
1955,23.081,18.807,17.855,17.818,15.998,12.483,9.979,8.648,7.416,6.309,5.266,4.265,3.230,2.194,1.267,0.558,0.205,…,…,…,…,…
1956,24.550,19.197,18.078,18.639,17.391,13.511,10.329,8.806,7.589,6.453,5.383,4.349,3.291,2.237,1.299,0.587,0.233,…,…,…,…,…
1957,26.652,19.587,18.156,19.124,18.712,14.815,10.788,8.908,7.752,6.584,5.495,4.431,3.351,2.273,1.318,0.601,0.246,…,…,…,…,…
1958,29.082,20.006,18.123,19.235,19.839,16.334,11.393,8.971,7.887,6.694,5.592,4.506,3.405,2.305,1.329,0.604,0.245,…,…,…,…,…
1959,31.291,20.526,18.012,19.047,20.690,17.929,12.203,9.069,7.979,6.784,5.675,4.575,3.460,2.335,1.332,0.592,0.228,…,…,…,…,…
1960,32.718,21.239,17.854,18.673,21.217,19.452,13.268,9.282,8.018,6.857,5.745,4.642,3.515,2.365,1.336,0.569,0.188,…,…,…,…,…
1961,34.172,22.432,18.537,18.604,20.496,19.509,13.901,9.503,8.083,7.001,5.866,4.718,3.567,2.410,1.372,0.602,0.216,…,…,…,…,…
1962,34.601,23.490,19.189,18.825,19.876,19.327,14.546,9.732,8.059,7.157,5.987,4.809,3.620,2.452,1.399,0.623,0.233,…,…,…,…,…
1963,34.252,24.372,19.760,19.266,19.528,18.993,15.136,9.992,7.980,7.321,6.113,4.922,3.683,2.498,1.424,0.631,0.239,…,…,…,…,…
1964,33.844,24.954,20.225,19.806,19.523,18.624,15.552,10.298,7.905,7.447,6.248,5.056,3.761,2.551,1.446,0.629,0.230,…,…,…,…,…
1965,34.140,25.063,20.565,20.327,19.811,18.349,15.741,10.633,7.868,7.493,6.390,5.199,3.858,2.609,1.470,0.619,0.198,…,…,…,…,…
1966,35.069,25.280,20.739,20.889,20.481,18.140,15.496,10.801,7.759,7.410,6.520,5.305,3.930,2.652,1.514,0.660,0.228,…,…,…,…,…
1967,36.457,25.489,20.707,21.136,21.356,18.355,15.103,10.965,7.629,7.190,6.677,5.414,4.027,2.689,1.548,0.686,0.252,…,…,…,…,…
