time,age,age_interval,survivors
1950-1955,0,1,100000.000
1950-1955,1,4,85005.510
1950-1955,5,5,63357.839
1950-1955,10,5,58974.849
1950-1955,15,5,56838.566
1950-1955,20,5,53931.908
1950-1955,25,5,50501.140
1950-1955,30,5,47039.641
1950-1955,35,5,43691.138
1950-1955,40,5,40396.876
1950-1955,45,5,37280.135
1950-1955,50,5,34223.438
1950-1955,55,5,30566.933
1950-1955,60,5,26150.657
1950-1955,65,5,20153.207
1950-1955,70,5,13381.879
1950-1955,75,5,6816.030
1950-1955,80,5,2291.492
1950-1955,85,15,419.551
1955-1960,0,1,100000.000
1955-1960,1,4,85609.680
1955-1960,5,5,64944.379
1955-1960,10,5,60678.870
1955-1960,15,5,58588.443
1955-1960,20,5,55735.372
1955-1960,25,5,52357.547
1955-1960,30,5,48935.249
1955-1960,35,5,45613.890
1955-1960,40,5,42329.931
1955-1960,45,5,39203.693
1955-1960,50,5,36119.079
1955-1960,55,5,32411.466
1955-1960,60,5,27907.556
1955-1960,65,5,21749.312
1955-1960,70,5,14699.752
1955-1960,75,5,7713.577
1955-1960,80,5,2725.840
1955-1960,85,15,536.887
1960-1965,0,1,100000.000
1960-1965,1,4,86181.460
1960-1965,5,5,66462.649
1960-1965,10,5,62319.341
1960-1965,15,5,60277.679
1960-1965,20,5,57482.669
1960-1965,25,5,54163.802
1960-1965,30,5,50787.572
1960-1965,35,5,47500.825
1960-1965,40,5,44235.240
1960-1965,45,5,41107.399
1960-1965,50,5,38002.726
1960-1965,55,5,34253.677
1960-1965,60,5,29673.981
1960-1965,65,5,23371.342
1960-1965,70,5,16060.309
1960-1965,75,5,8662.985
1960-1965,80,5,3203.162
1960-1965,85,15,674.208
1965-1970,0,1,100000.000
1965-1970,1,4,87769.440
1965-1970,5,5,70769.559
1965-1970,10,5,66672.205
1965-1970,15,5,64653.958
1965-1970,20,5,61861.301
1965-1970,25,5,58531.460
1965-1970,30,5,55124.939
1965-1970,35,5,51794.887
1965-1970,40,5,48463.313
1965-1970,45,5,45244.144
1965-1970,50,5,42021.685
1965-1970,55,5,38104.943
1965-1970,60,5,33283.296
1965-1970,65,5,26588.871
1965-1970,70,5,18680.606
1965-1970,75,5,10449.052
1965-1970,80,5,4096.465
1965-1970,85,15,939.113
1970-1975,0,1,100000.000
1970-1975,1,4,89103.980
1970-1975,5,5,74498.619
1970-1975,10,5,71009.147
1970-1975,15,5,69245.238
1970-1975,20,5,66783.136
1970-1975,25,5,63816.499
1970-1975,30,5,60737.015
1970-1975,35,5,57697.004
1970-1975,40,5,54600.015
1970-1975,45,5,51536.408
1970-1975,50,5,48399.435
1970-1975,55,5,44522.008
1970-1975,60,5,39655.599
1970-1975,65,5,32754.235
1970-1975,70,5,24226.246
1970-1975,75,5,14715.749
1970-1975,80,5,6562.312
1970-1975,85,15,1812.727
1975-1980,0,1,100000.000
1975-1980,1,4,90290.470
1975-1980,5,5,77904.738
1975-1980,10,5,74990.557
1975-1980,15,5,73469.735
1975-1980,20,5,71316.981
1975-1980,25,5,68700.805
1975-1980,30,5,65947.519
1975-1980,35,5,63209.120
1975-1980,40,5,60374.332
1975-1980,45,5,57504.685
