id_paper,id_group,id_proc,paper_first_author,paper_year,paper_journal,pop_group_clinical,pop_group_demographic,recruitment_period,country,location,urban_rural,geographic_scope,study_design,recruitment_setting,refusal_rate_percent,missing_data_percent,treated,hiv_coinfection,other_infection,study_link,study_details,dp_period,age_min_years,age_max_years,age_mean_years,age_sd_years,age_median_years,age_iqr_years,age_distribution_years,sex,proportion_male,vaccinated,hbsag_positive_prop,hbsag_positive_prop_ci_lower,hbsag_positive_prop_ci_upper,confirmed_chronic,antihbc_positive_prop,antihbc_positive_prop_ci_lower,antihbc_positive_prop_ci_upper,sample_size,dp_details,processing_notes
GMB1,1,x,Lemoine,2016,Lancet Global Health,General population,Adults,2011-2014,Gambia,Western Gambia,Mixed,Sub-national - multiple locations,Cohort,Community-based,31.1% (95% CI 27.6-35) of 8170,max 5%,No,NR,NR,PROLIFICA,represents the population taking up screening,2011-2014,30,39,NR,NA,NR,NA,NR,Male,1,No,0.16,0.13,0.19,No,NR,NR,NR,575,NA,stratum sample size was estimated
GMB1,1,x,Lemoine,2016,Lancet Global Health,General population,Adults,2011-2014,Gambia,Western Gambia,Mixed,Sub-national - multiple locations,Cohort,Community-based,31.1% (95% CI 27.6-35) of 8170,max 5%,No,NR,NR,PROLIFICA,represents the population taking up screening,2011-2014,40,49,NR,NA,NR,NA,NR,Male,1,No,0.09,0.06,0.12,No,NR,NR,NR,349,NA,stratum sample size was estimated
GMB1,1,x,Lemoine,2016,Lancet Global Health,General population,Adults,2011-2014,Gambia,Western Gambia,Mixed,Sub-national - multiple locations,Cohort,Community-based,31.1% (95% CI 27.6-35) of 8170,max 5%,No,NR,NR,PROLIFICA,represents the population taking up screening,2011-2014,50,59,NR,NA,NR,NA,NR,Male,1,No,0.065,0.035,0.095,No,NR,NR,NR,237,NA,stratum sample size was estimated
GMB1,1,x,Lemoine,2016,Lancet Global Health,General population,Adults,2011-2014,Gambia,Western Gambia,Mixed,Sub-national - multiple locations,Cohort,Community-based,31.1% (95% CI 27.6-35) of 8170,max 5%,No,NR,NR,PROLIFICA,represents the population taking up screening,2011-2014,60,NR,68,NA,NR,NA,NR,Male,1,No,0.04,0.02,0.06,No,NR,NR,NR,270,NA,stratum sample size was estimated. Mean age assumed from model estimate
GMB1,1,x,Lemoine,2016,Lancet Global Health,General population,Adults,2011-2014,Gambia,Western Gambia,Mixed,Sub-national - multiple locations,Cohort,Community-based,31.1% (95% CI 27.6-35) of 8170,max 5%,No,NR,NR,PROLIFICA,represents the population taking up screening,2011-2014,30,39,NR,NA,NR,NA,NR,Female,0,No,0.095,0.08,0.11,No,NR,NR,NR,1822,NA,stratum sample size was estimated
GMB1,1,x,Lemoine,2016,Lancet Global Health,General population,Adults,2011-2014,Gambia,Western Gambia,Mixed,Sub-national - multiple locations,Cohort,Community-based,31.1% (95% CI 27.6-35) of 8170,max 5%,No,NR,NR,PROLIFICA,represents the population taking up screening,2011-2014,40,49,NR,NA,NR,NA,NR,Female,0,No,0.075,0.055,0.1,No,NR,NR,NR,1107,NA,stratum sample size was estimated
GMB1,1,x,Lemoine,2016,Lancet Global Health,General population,Adults,2011-2014,Gambia,Western Gambia,Mixed,Sub-national - multiple locations,Cohort,Community-based,31.1% (95% CI 27.6-35) of 8170,max 5%,No,NR,NR,PROLIFICA,represents the population taking up screening,2011-2014,50,59,NR,NA,NR,NA,NR,Female,0,No,0.04,0.015,0.065,No,NR,NR,NR,751,NA,stratum sample size was estimated
GMB1,1,x,Lemoine,2016,Lancet Global Health,General population,Adults,2011-2014,Gambia,Western Gambia,Mixed,Sub-national - multiple locations,Cohort,Community-based,31.1% (95% CI 27.6-35) of 8170,max 5%,No,NR,NR,PROLIFICA,represents the population taking up screening,2011-2014,60,NR,68,NA,NR,NA,NR,Female,0,No,0.045,0.015,0.075,No,NR,NR,NR,857,NA,stratum sample size was estimated. Mean age assumed from model estimate
GMB1,2,x,Lemoine,2016,Lancet Global Health,Blood donors,Adults - male,2013,Gambia,Banjul,NR,Sub-national - single city,Cohort,Blood bank,18.6% of 6832 (shortage of testing kits),max. 12%,No,NR,NR,PROLIFICA,NA,2013,16,19,NR,NA,NR,NA,NR,Male,1,No,0.03,0.01,0.07,No,NR,NR,NR,159,NA,NA
GMB1,2,x,Lemoine,2016,Lancet Global Health,Blood donors,Adults - male,2013,Gambia,Banjul,NR,Sub-national - single city,Cohort,Blood bank,18.6% of 6832 (shortage of testing kits),max. 12%,No,NR,NR,PROLIFICA,NA,2013,20,29,NR,NA,NR,NA,NR,Male,1,No,0.135,0.12,0.15,No,NR,NR,NR,2480,NA,NA
GMB1,2,x,Lemoine,2016,Lancet Global Health,Blood donors,Adults - male,2013,Gambia,Banjul,NR,Sub-national - single city,Cohort,Blood bank,18.6% of 6832 (shortage of testing kits),max. 12%,No,NR,NR,PROLIFICA,NA,2013,30,39,NR,NA,NR,NA,NR,Male,1,No,0.155,0.14,0.175,No,NR,NR,NR,1932,NA,NA
