id_paper,id_group,id_proc,paper_first_author,paper_year,paper_journal,pop_group_clinical,pop_group_demographic,recruitment_period,dp_period,country,location,urban_rural,geographic_scope,study_design,recruitment_setting,refusal_rate_percent,ltfu_percent,vaccinated,treated,hiv_coinfection,other_infection,study_link,study_details,bl_age_min_years,bl_age_max_years,bl_age_mean_years,bl_age_sd_years,bl_age_median_years,bl_age_iqr_years,bl_age_distribution_years,bl_hbsag_positive_prop,bl_hbeag_positive_prop,bl_viral_load,bl_hcc_proportion,bl_cirrhosis_proportion,bl_fibrosis_proportion,current_age_min_years,current_age_max_years,current_age_mean_years,current_age_median_years,current_age_distribution_years,sex,proportion_male,dp_description,model_prog_from,model_prog_to,rate_100py,rate_100py_ci_lower,rate_100py_ci_upper,py_at_risk,sample_size,follow_up_min_years,follow_up_max_years,follow_up_mean_years,follow_up_sd_years,follow_up_median_years,follow_up_iqr_years,dp_details,processing_notes,modelling_use,modelling_notes
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,1974-2013,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405,Mixed,No,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,0,NR,NR,NA,10.8,4.6-21.8,NR,1,1,"57% <2000, 23% 2000-10^8, 20% >= 10^8",0,NR,NR,NA,NA,NA,NA,NA,Mixed,0.5,HBeAg seroclearance in HBeAg-positive chronic HBV carriers,HBeAg-positive chronic HBV carrier,HBeAg-negative chronic HBV carrier,7.4,6.3,8.8,1912,173,NR,NR,NR,NA,28.4,17.7-32.7,NA,NA,output,Start shadow model of chronic carriers. Numerator = cumulative number of incident transitions to IC and ENCHB 28 years later (this represents eAg loss because these transitions can only HBeAg-positive compartments). Denominator = person-time in compartments at risk (IT and IR)
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,1974-2013,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405,Mixed,No,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,0,NR,NR,NA,10.8,4.6-21.8,NR,1,0.45,NR,0,NR,NR,0,9,NR,NR,NR,Mixed,NR,HBsAg seroclearance in chronic HBV carriers,Inactive carrier,Immune,0.1,0.01,0.71,957,NR,NR,NR,NR,NA,28.4,17.7-32.7,"not clear if this represents an output to fit to or an input - current age would be difficult to apply in shadow model, and the majority of the chronic carrier cohort were inactive carriers anyway",95% CI calculated using normal approximation of Poisson distribution (Kirkwood),input,represents parameter sag_loss
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,1980-2019,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405,Mixed,No,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,0,NR,NR,NA,10.8,4.6-21.8,NR,1,0.45,NR,0,NR,NR,10,19,NR,NR,NR,Mixed,NR,HBsAg seroclearance in chronic HBV carriers,Inactive carrier,Immune,0.46,0.25,0.85,2189,NR,NR,NR,NR,NA,28.4,17.7-32.7,"not clear if this represents an output to fit to or an input - current age would be difficult to apply in shadow model, and the majority of the chronic carrier cohort were inactive carriers anyway",95% CI calculated using normal approximation of Poisson distribution (Kirkwood),input,represents parameter sag_loss
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,1974-2013,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405,Mixed,No,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,0,NR,NR,NA,10.8,4.6-21.8,NR,1,0.45,NR,0,NR,NR,20,29,NR,NR,NR,Mixed,NR,HBsAg seroclearance in chronic HBV carriers,Inactive carrier,Immune,1.01,0.68,1.51,2382,NR,NR,NR,NR,NA,28.4,17.7-32.7,"not clear if this represents an output to fit to or an input - current age would be difficult to apply in shadow model, and the majority of the chronic carrier cohort were inactive carriers anyway",95% CI calculated using normal approximation of Poisson distribution (Kirkwood),input,represents parameter sag_loss
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,1980-2020,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405,Mixed,No,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,0,NR,NR,NA,10.8,4.6-21.8,NR,1,0.45,NR,0,NR,NR,30,39,NR,NR,NR,Mixed,NR,HBsAg seroclearance in chronic HBV carriers,Inactive carrier,Immune,1.05,0.64,1.71,1528,NR,NR,NR,NR,NA,28.4,17.7-32.7,"not clear if this represents an output to fit to or an input - current age would be difficult to apply in shadow model, and the majority of the chronic carrier cohort were inactive carriers anyway",95% CI calculated using normal approximation of Poisson distribution (Kirkwood),input,represents parameter sag_loss
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,1974-2013,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405,Mixed,No,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,0,NR,NR,NA,10.8,4.6-21.8,NR,1,0.45,NR,0,NR,NR,40,49,NR,NR,NR,Mixed,NR,HBsAg seroclearance in chronic HBV carriers,Inactive carrier,Immune,2.32,1.48,3.64,820,NR,NR,NR,NR,NA,28.4,17.7-32.7,"not clear if this represents an output to fit to or an input - current age would be difficult to apply in shadow model, and the majority of the chronic carrier cohort were inactive carriers anyway",95% CI calculated using normal approximation of Poisson distribution (Kirkwood),input,represents parameter sag_loss
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,1980-2021,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405,Mixed,No,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,0,NR,NR,NA,10.8,4.6-21.8,NR,1,0.45,NR,0,NR,NR,50,70,NR,NR,NR,Mixed,NR,HBsAg seroclearance in chronic HBV carriers,Inactive carrier,Immune,2.39,1.44,3.96,627,NR,NR,NR,NR,NA,28.4,17.7-32.7,"not clear if this represents an output to fit to or an input - current age would be difficult to apply in shadow model, and the majority of the chronic carrier cohort were inactive carriers anyway",95% CI calculated using normal approximation of Poisson distribution (Kirkwood),input,represents parameter sag_loss
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,1980-2024,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405,Mixed,No,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,0,19,NR,NA,NR,NA,NR,1,0.45,NR,0,NR,NR,NA,NA,NA,NA,NA,Male,1,HCC incidence in HCC-negative chronic HBV carriers,HCC-negative chronic HBV carrier,HCC,0,NA,NA,1930,NR,NR,NR,NR,NA,28.4,17.7-32.7,NA,NA,output,Start shadow model of chronic carriers. Numerator = cumulative number of incident HCC cases 28 years later. Denominator = person-time in compartments at risk (chronic compartments except for HCC)
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,1974-2013,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405,Mixed,No,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,20,39,NR,NA,NR,NA,NR,1,0.45,NR,0,NR,NR,NA,NA,NA,NA,NA,Male,1,HCC incidence in HCC-negative chronic HBV carriers,HCC-negative chronic HBV carrier,HCC,0.1835,0.0824,0.4085,3270,NR,NR,NR,NR,NA,28.4,17.7-32.7,NA,maximum age was assumed,output,Start shadow model of chronic carriers. Numerator = cumulative number of incident HCC cases 28 years later. Denominator = person-time in compartments at risk (chronic compartments except for HCC)
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,1980-2025,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405,Mixed,No,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,0,NR,NR,NA,10.8,4.6-21.8,NR,1,0.45,NR,0,NR,NR,NA,NA,NA,NA,NA,Female,0,HCC incidence in HCC-negative chronic HBV carriers,HCC-negative chronic HBV carrier,HCC,0,NA,NA,5615,201,NR,NR,NR,NA,28.4,17.7-32.7,NA,NA,output,Start shadow model of chronic carriers. Numerator = cumulative number of incident HCC cases 28 years later. Denominator = person-time in compartments at risk (chronic compartments except for HCC)
