id_paper,id_group,id_proc,paper_first_author,paper_year,paper_journal,pop_group_clinical,pop_group_demographic,recruitment_period,dp_period,country,location,urban_rural,geographic_scope,study_design,recruitment_setting,refusal_rate_percent,ltfu_percent,vaccinated,treated,hiv_coinfection,other_infection,study_link,analysis_method,study_details,bl_age_min_years,bl_age_max_years,bl_age_mean_years,bl_age_sd_years,bl_age_median_years,bl_age_iqr_years,bl_age_distribution_years,bl_hbsag_positive_prop,bl_hbeag_positive_prop,bl_viral_load,bl_hcc_proportion,bl_cirrhosis_proportion,bl_fibrosis_proportion,sex,proportion_male,dp_description,model_prog_from,model_prog_to,cum_risk,cum_risk_ci_lower,cum_risk_ci_upper,time_interval_years,number_at_risk,sample_size,follow_up_max_years,dp_details,processing_notes,modelling_notes
A4,1,x,Shimakawa,2016,Alimentary Pharmacology & Therapeutics,Compensated cirrhosis patients - no HCC,Adults,2012,2012-2014,Gambia,Banjul,NR,National,Case-control,Hospital-based,1% of 281,14% of 71 at 28 days (excluded from analysis),No,Mixed - 1 patient treated with lamivudine,No,2 patients had co-infection with HCV/HDV,NA,Kaplan Meier,NA,NR,NR,NR,NA,39,27-53,NR,0.747,NA,NA,0,1,NA,Mixed,0.746,Cumulative probability of death in compensated cirrhotics after cirrhosis diagnosis,Compensated cirrhosis,"Death from cirrhosis, HCC or background mortality",0.025,NR,NR,0.01,NR,61,0.47,total sample size assumed to be with exclusion of 9 people who were lost to follow-up within 28 days  and 1 patient with unknown date of death,NA,"Start shadow model with participants only in compensated cirrhosis compartment. Numerator = sum of incident deaths (from cirrhosis, HCC, background mort) at next time interval. Denominator = number in compensated cirrhosis compartment at first timestep."
A4,1,x,Shimakawa,2016,Alimentary Pharmacology & Therapeutics,Compensated cirrhosis patients - no HCC,Adults,2012,2012-2014,Gambia,Banjul,NR,National,Case-control,Hospital-based,1% of 281,14% of 71 at 28 days (excluded from analysis),No,Mixed - 1 patient treated with lamivudine,No,2 patients had co-infection with HCV/HDV,NA,Kaplan Meier,NA,NR,NR,NR,NA,39,27-53,NR,0.747,NA,NA,0,1,NA,Mixed,0.746,Cumulative probability of death in compensated cirrhotics after cirrhosis diagnosis,Compensated cirrhosis,"Death from cirrhosis, HCC or background mortality",0.07,NR,NR,0.03,NR,61,0.47,total sample size assumed to be with exclusion of 9 people who were lost to follow-up within 28 days  and 1 patient with unknown date of death,NA,"Start shadow model with participants only in compensated cirrhosis compartment. Numerator = sum of incident deaths (from cirrhosis, HCC, background mort) at next time interval. Denominator = number in compensated cirrhosis compartment at first timestep."
A4,1,x,Shimakawa,2016,Alimentary Pharmacology & Therapeutics,Compensated cirrhosis patients - no HCC,Adults,2012,2012-2014,Gambia,Banjul,NR,National,Case-control,Hospital-based,1% of 281,14% of 71 at 28 days (excluded from analysis),No,Mixed - 1 patient treated with lamivudine,No,2 patients had co-infection with HCV/HDV,NA,Kaplan Meier,NA,NR,NR,NR,NA,39,27-53,NR,0.747,NA,NA,0,1,NA,Mixed,0.746,Cumulative probability of death in compensated cirrhotics after cirrhosis diagnosis,Compensated cirrhosis,"Death from cirrhosis, HCC or background mortality",0.12,NR,NR,0.04,NR,61,0.47,total sample size assumed to be with exclusion of 9 people who were lost to follow-up within 28 days  and 1 patient with unknown date of death,NA,"Start shadow model with participants only in compensated cirrhosis compartment. Numerator = sum of incident deaths (from cirrhosis, HCC, background mort) at next time interval. Denominator = number in compensated cirrhosis compartment at first timestep."
A4,1,x,Shimakawa,2016,Alimentary Pharmacology & Therapeutics,Compensated cirrhosis patients - no HCC,Adults,2012,2012-2014,Gambia,Banjul,NR,National,Case-control,Hospital-based,1% of 281,14% of 71 at 28 days (excluded from analysis),No,Mixed - 1 patient treated with lamivudine,No,2 patients had co-infection with HCV/HDV,NA,Kaplan Meier,NA,NR,NR,NR,NA,39,27-53,NR,0.747,NA,NA,0,1,NA,Mixed,0.746,Cumulative probability of death in compensated cirrhotics after cirrhosis diagnosis,Compensated cirrhosis,"Death from cirrhosis, HCC or background mortality",0.13,NR,NR,0.05,NR,61,0.47,total sample size assumed to be with exclusion of 9 people who were lost to follow-up within 28 days  and 1 patient with unknown date of death,NA,"Start shadow model with participants only in compensated cirrhosis compartment. Numerator = sum of incident deaths (from cirrhosis, HCC, background mort) at next time interval. Denominator = number in compensated cirrhosis compartment at first timestep."
A4,1,x,Shimakawa,2016,Alimentary Pharmacology & Therapeutics,Compensated cirrhosis patients - no HCC,Adults,2012,2012-2014,Gambia,Banjul,NR,National,Case-control,Hospital-based,1% of 281,14% of 71 at 28 days (excluded from analysis),No,Mixed - 1 patient treated with lamivudine,No,2 patients had co-infection with HCV/HDV,NA,Kaplan Meier,NA,NR,NR,NR,NA,39,27-53,NR,0.747,NA,NA,0,1,NA,Mixed,0.746,Cumulative probability of death in compensated cirrhotics after cirrhosis diagnosis,Compensated cirrhosis,"Death from cirrhosis, HCC or background mortality",0.13,NR,NR,0.07,NR,61,0.47,total sample size assumed to be with exclusion of 9 people who were lost to follow-up within 28 days  and 1 patient with unknown date of death,NA,"Start shadow model with participants only in compensated cirrhosis compartment. Numerator = sum of incident deaths (from cirrhosis, HCC, background mort) at next time interval. Denominator = number in compensated cirrhosis compartment at first timestep."
A4,1,x,Shimakawa,2016,Alimentary Pharmacology & Therapeutics,Compensated cirrhosis patients - no HCC,Adults,2012,2012-2014,Gambia,Banjul,NR,National,Case-control,Hospital-based,1% of 281,14% of 71 at 28 days (excluded from analysis),No,Mixed - 1 patient treated with lamivudine,No,2 patients had co-infection with HCV/HDV,NA,Kaplan Meier,NA,NR,NR,NR,NA,39,27-53,NR,0.747,NA,NA,0,1,NA,Mixed,0.746,Cumulative probability of death in compensated cirrhotics after cirrhosis diagnosis,Compensated cirrhosis,"Death from cirrhosis, HCC or background mortality",0.13,NR,NR,0.08,NR,61,0.47,total sample size assumed to be with exclusion of 9 people who were lost to follow-up within 28 days  and 1 patient with unknown date of death,NA,"Start shadow model with participants only in compensated cirrhosis compartment. Numerator = sum of incident deaths (from cirrhosis, HCC, background mort) at next time interval. Denominator = number in compensated cirrhosis compartment at first timestep."
A4,1,x,Shimakawa,2016,Alimentary Pharmacology & Therapeutics,Compensated cirrhosis patients - no HCC,Adults,2012,2012-2014,Gambia,Banjul,NR,National,Case-control,Hospital-based,1% of 281,14% of 71 at 28 days (excluded from analysis),No,Mixed - 1 patient treated with lamivudine,No,2 patients had co-infection with HCV/HDV,NA,Kaplan Meier,NA,NR,NR,NR,NA,39,27-53,NR,0.747,NA,NA,0,1,NA,Mixed,0.746,Cumulative probability of death in compensated cirrhotics after cirrhosis diagnosis,Compensated cirrhosis,"Death from cirrhosis, HCC or background mortality",0.225,NR,NR,0.16,NR,61,0.47,total sample size assumed to be with exclusion of 9 people who were lost to follow-up within 28 days  and 1 patient with unknown date of death,NA,"Start shadow model with participants only in compensated cirrhosis compartment. Numerator = sum of incident deaths (from cirrhosis, HCC, background mort) at next time interval. Denominator = number in compensated cirrhosis compartment at first timestep."
A4,1,x,Shimakawa,2016,Alimentary Pharmacology & Therapeutics,Compensated cirrhosis patients - no HCC,Adults,2012,2012-2014,Gambia,Banjul,NR,National,Case-control,Hospital-based,1% of 281,14% of 71 at 28 days (excluded from analysis),No,Mixed - 1 patient treated with lamivudine,No,2 patients had co-infection with HCV/HDV,NA,Kaplan Meier,NA,NR,NR,NR,NA,39,27-53,NR,0.747,NA,NA,0,1,NA,Mixed,0.746,Cumulative probability of death in compensated cirrhotics after cirrhosis diagnosis,Compensated cirrhosis,"Death from cirrhosis, HCC or background mortality",0.275,NR,NR,0.25,57,61,0.47,total sample size assumed to be with exclusion of 9 people who were lost to follow-up within 28 days  and 1 patient with unknown date of death,NA,"Start shadow model with participants only in compensated cirrhosis compartment. Numerator = sum of incident deaths (from cirrhosis, HCC, background mort) at next time interval. Denominator = number in compensated cirrhosis compartment at first timestep."
A4,1,x,Shimakawa,2016,Alimentary Pharmacology & Therapeutics,Compensated cirrhosis patients - no HCC,Adults,2012,2012-2014,Gambia,Banjul,NR,National,Case-control,Hospital-based,1% of 281,14% of 71 at 28 days (excluded from analysis),No,Mixed - 1 patient treated with lamivudine,No,2 patients had co-infection with HCV/HDV,NA,Kaplan Meier,NA,NR,NR,NR,NA,39,27-53,NR,0.747,NA,NA,0,1,NA,Mixed,0.746,Cumulative probability of death in compensated cirrhotics after cirrhosis diagnosis,Compensated cirrhosis,"Death from cirrhosis, HCC or background mortality",0.29,NR,NR,0.33,NR,61,0.47,total sample size assumed to be with exclusion of 9 people who were lost to follow-up within 28 days  and 1 patient with unknown date of death,NA,"Start shadow model with participants only in compensated cirrhosis compartment. Numerator = sum of incident deaths (from cirrhosis, HCC, background mort) at next time interval. Denominator = number in compensated cirrhosis compartment at first timestep."
A4,1,x,Shimakawa,2016,Alimentary Pharmacology & Therapeutics,Compensated cirrhosis patients - no HCC,Adults,2012,2012-2014,Gambia,Banjul,NR,National,Case-control,Hospital-based,1% of 281,14% of 71 at 28 days (excluded from analysis),No,Mixed - 1 patient treated with lamivudine,No,2 patients had co-infection with HCV/HDV,NA,Kaplan Meier,NA,NR,NR,NR,NA,39,27-53,NR,0.747,NA,NA,0,1,NA,Mixed,0.746,Cumulative probability of death in compensated cirrhotics after cirrhosis diagnosis,Compensated cirrhosis,"Death from cirrhosis, HCC or background mortality",0.3,NR,NR,0.41,NR,61,0.47,total sample size assumed to be with exclusion of 9 people who were lost to follow-up within 28 days  and 1 patient with unknown date of death,NA,"Start shadow model with participants only in compensated cirrhosis compartment. Numerator = sum of incident deaths (from cirrhosis, HCC, background mort) at next time interval. Denominator = number in compensated cirrhosis compartment at first timestep."
