country_code_numeric,country_code,country,age_from,age_to,year,gender,value
270,GMB,Gambia,0,0,1950,female,31.439709
270,GMB,Gambia,1,4,1950,female,35.923758
270,GMB,Gambia,5,9,1950,female,43.732923
270,GMB,Gambia,10,14,1950,female,41.79734
270,GMB,Gambia,15,19,1950,female,38.274334
270,GMB,Gambia,20,24,1950,female,35.197093
270,GMB,Gambia,25,29,1950,female,32.415923
270,GMB,Gambia,30,34,1950,female,29.617724
270,GMB,Gambia,35,39,1950,female,26.696811
270,GMB,Gambia,40,44,1950,female,23.67124
270,GMB,Gambia,45,49,1950,female,20.442515
270,GMB,Gambia,50,54,1950,female,17.041937
270,GMB,Gambia,55,59,1950,female,13.772226
270,GMB,Gambia,60,64,1950,female,10.657657
270,GMB,Gambia,65,69,1950,female,8.0581361
270,GMB,Gambia,70,74,1950,female,5.8570168
270,GMB,Gambia,75,79,1950,female,4.1630436
270,GMB,Gambia,80,84,1950,female,2.9381351
270,GMB,Gambia,85,89,1950,female,2.1761424
270,GMB,Gambia,90,94,1950,female,1.6112523
270,GMB,Gambia,95,99,1950,female,1.4084224
270,GMB,Gambia,100,120,1950,female,1.2293487
270,GMB,Gambia,0,0,1955,female,32.766861
270,GMB,Gambia,1,4,1955,female,37.215883
270,GMB,Gambia,5,9,1955,female,44.624906
270,GMB,Gambia,10,14,1955,female,42.586138
270,GMB,Gambia,15,19,1955,female,39.016405
270,GMB,Gambia,20,24,1955,female,35.880567
270,GMB,Gambia,25,29,1955,female,33.031693
270,GMB,Gambia,30,34,1955,female,30.16719
270,GMB,Gambia,35,39,1955,female,27.182379
270,GMB,Gambia,40,44,1955,female,24.098237
270,GMB,Gambia,45,49,1955,female,20.821584
270,GMB,Gambia,50,54,1955,female,17.383091
270,GMB,Gambia,55,59,1955,female,14.076496
270,GMB,Gambia,60,64,1955,female,10.927008
270,GMB,Gambia,65,69,1955,female,8.2860287
270,GMB,Gambia,70,74,1955,female,6.0445797
270,GMB,Gambia,75,79,1955,female,4.3124367
270,GMB,Gambia,80,84,1955,female,3.0487691
270,GMB,Gambia,85,89,1955,female,2.2518075
270,GMB,Gambia,90,94,1955,female,1.6593243
270,GMB,Gambia,95,99,1955,female,1.4399023
270,GMB,Gambia,100,120,1955,female,1.2486758
270,GMB,Gambia,0,0,1960,female,34.081164
270,GMB,Gambia,1,4,1960,female,38.489699
270,GMB,Gambia,5,9,1960,female,45.505417
270,GMB,Gambia,10,14,1960,female,43.364636
270,GMB,Gambia,15,19,1960,female,39.748761
270,GMB,Gambia,20,24,1960,female,36.555022
270,GMB,Gambia,25,29,1960,female,33.639354
270,GMB,Gambia,30,34,1960,female,30.709565
270,GMB,Gambia,35,39,1960,female,27.661949
270,GMB,Gambia,40,44,1960,female,24.520263
270,GMB,Gambia,45,49,1960,female,21.196563
270,GMB,Gambia,50,54,1960,female,17.720784
270,GMB,Gambia,55,59,1960,female,14.377753
270,GMB,Gambia,60,64,1960,female,11.193532
270,GMB,Gambia,65,69,1960,female,8.5110888
270,GMB,Gambia,70,74,1960,female,6.228968
270,GMB,Gambia,75,79,1960,female,4.4580994
270,GMB,Gambia,80,84,1960,female,3.1563797
270,GMB,Gambia,85,89,1960,female,2.3256508
270,GMB,Gambia,90,94,1960,female,1.7062452
270,GMB,Gambia,95,99,1960,female,1.4712489
270,GMB,Gambia,100,120,1960,female,1.26804
270,GMB,Gambia,0,0,1965,female,37.073299
270,GMB,Gambia,1,4,1965,female,41.190644
270,GMB,Gambia,5,9,1965,female,46.758306
270,GMB,Gambia,10,14,1965,female,44.478209
270,GMB,Gambia,15,19,1965,female,40.788607
270,GMB,Gambia,20,24,1965,female,37.512409
270,GMB,Gambia,25,29,1965,female,34.501931
270,GMB,Gambia,30,34,1965,female,31.479542
270,GMB,Gambia,35,39,1965,female,28.343011
270,GMB,Gambia,40,44,1965,female,25.120069
270,GMB,Gambia,45,49,1965,female,21.729995
270,GMB,Gambia,50,54,1965,female,18.20141
270,GMB,Gambia,55,59,1965,female,14.806635
270,GMB,Gambia,60,64,1965,female,11.572708
270,GMB,Gambia,65,69,1965,female,8.8305155
270,GMB,Gambia,70,74,1965,female,6.4893324
270,GMB,Gambia,75,79,1965,female,4.6619212
270,GMB,Gambia,80,84,1965,female,3.306053
270,GMB,Gambia,85,89,1965,female,2.4268377
270,GMB,Gambia,90,94,1965,female,1.7962038
270,GMB,Gambia,95,99,1965,female,1.5287233
270,GMB,Gambia,100,120,1965,female,1.3057604
270,GMB,Gambia,0,0,1970,female,41.379945
270,GMB,Gambia,1,4,1970,female,45.397265
270,GMB,Gambia,5,9,1970,female,50.030519
270,GMB,Gambia,10,14,1970,female,47.366224
270,GMB,Gambia,15,19,1970,female,43.509118
270,GMB,Gambia,20,24,1970,female,40.017024
270,GMB,Gambia,25,29,1970,female,36.75893
270,GMB,Gambia,30,34,1970,female,33.495673
270,GMB,Gambia,35,39,1970,female,30.128738
270,GMB,Gambia,40,44,1970,female,26.695796
270,GMB,Gambia,45,49,1970,female,23.133961
270,GMB,Gambia,50,54,1970,female,19.468074
270,GMB,Gambia,55,59,1970,female,15.937809
270,GMB,Gambia,60,64,1970,female,12.57171
270,GMB,Gambia,65,69,1970,female,9.6688034
270,GMB,Gambia,70,74,1970,female,7.166684
270,GMB,Gambia,75,79,1970,female,5.1842774
270,GMB,Gambia,80,84,1970,female,3.6855949
270,GMB,Gambia,85,89,1970,female,2.6855022
270,GMB,Gambia,90,94,1970,female,2.0012198
270,GMB,Gambia,95,99,1970,female,1.6614848
270,GMB,Gambia,100,120,1970,female,1.3918015
270,GMB,Gambia,0,0,1975,female,45.571837
270,GMB,Gambia,1,4,1975,female,49.435776
270,GMB,Gambia,5,9,1975,female,53.078144
270,GMB,Gambia,10,14,1975,female,50.043643
270,GMB,Gambia,15,19,1975,female,46.027795
270,GMB,Gambia,20,24,1975,female,42.338309
270,GMB,Gambia,25,29,1975,female,38.853441
270,GMB,Gambia,30,34,1975,female,35.370794
270,GMB,Gambia,35,39,1975,female,31.794578
270,GMB,Gambia,40,44,1975,female,28.169609
270,GMB,Gambia,45,49,1975,female,24.449981
270,GMB,Gambia,50,54,1975,female,20.657372
270,GMB,Gambia,55,59,1975,female,16.999288
270,GMB,Gambia,60,64,1975,female,13.507144
270,GMB,Gambia,65,69,1975,female,10.446913
270,GMB,Gambia,70,74,1975,female,7.7864345
270,GMB,Gambia,75,79,1975,female,5.6524728
270,GMB,Gambia,80,84,1975,female,4.0184814
270,GMB,Gambia,85,89,1975,female,2.9091581
270,GMB,Gambia,90,94,1975,female,2.1606086
270,GMB,Gambia,95,99,1975,female,1.7632779
270,GMB,Gambia,100,120,1975,female,1.4553724
270,GMB,Gambia,0,0,1980,female,49.571585
270,GMB,Gambia,1,4,1980,female,53.243893
270,GMB,Gambia,5,9,1980,female,55.872949
270,GMB,Gambia,10,14,1980,female,52.478553
270,GMB,Gambia,15,19,1980,female,48.30734
270,GMB,Gambia,20,24,1980,female,44.421002
270,GMB,Gambia,25,29,1980,female,40.715136
270,GMB,Gambia,30,34,1980,female,37.019113
270,GMB,Gambia,35,39,1980,female,33.247647
270,GMB,Gambia,40,44,1980,female,29.44368
270,GMB,Gambia,45,49,1980,female,25.580576
270,GMB,Gambia,50,54,1980,female,21.674351
270,GMB,Gambia,55,59,1980,female,17.903875
270,GMB,Gambia,60,64,1980,female,14.299241
270,GMB,Gambia,65,69,1980,female,11.097876
270,GMB,Gambia,70,74,1980,female,8.2950568
270,GMB,Gambia,75,79,1980,female,6.0258366
270,GMB,Gambia,80,84,1980,female,4.2747662
270,GMB,Gambia,85,89,1980,female,3.0744804
270,GMB,Gambia,90,94,1980,female,2.2686903
270,GMB,Gambia,95,99,1980,female,1.8290293
270,GMB,Gambia,100,120,1980,female,1.4935783
270,GMB,Gambia,0,0,1985,female,52.725448
270,GMB,Gambia,1,4,1985,female,56.200195
270,GMB,Gambia,5,9,1985,female,57.94687
270,GMB,Gambia,10,14,1985,female,54.303689
270,GMB,Gambia,15,19,1985,female,50.017196
270,GMB,Gambia,20,24,1985,female,45.979774
270,GMB,Gambia,25,29,1985,female,42.105556
270,GMB,Gambia,30,34,1985,female,38.24688
270,GMB,Gambia,35,39,1985,female,34.327655
270,GMB,Gambia,40,44,1985,female,30.390036
270,GMB,Gambia,45,49,1985,female,26.419898
270,GMB,Gambia,50,54,1985,female,22.428118
270,GMB,Gambia,55,59,1985,female,18.575066
270,GMB,Gambia,60,64,1985,female,14.885689
270,GMB,Gambia,65,69,1985,female,11.580147
270,GMB,Gambia,70,74,1985,female,8.6701168
270,GMB,Gambia,75,79,1985,female,6.2972341
270,GMB,Gambia,80,84,1985,female,4.4579333
270,GMB,Gambia,85,89,1985,female,3.1895103
270,GMB,Gambia,90,94,1985,female,2.3384251
270,GMB,Gambia,95,99,1985,female,1.8714635
270,GMB,Gambia,100,120,1985,female,1.5169323
270,GMB,Gambia,0,0,1990,female,54.173956
270,GMB,Gambia,1,4,1990,female,57.189435
270,GMB,Gambia,5,9,1990,female,58.217128
270,GMB,Gambia,10,14,1990,female,54.546617
270,GMB,Gambia,15,19,1990,female,50.239837
270,GMB,Gambia,20,24,1990,female,46.18334
270,GMB,Gambia,25,29,1990,female,42.287805
270,GMB,Gambia,30,34,1990,female,38.408476
270,GMB,Gambia,35,39,1990,female,34.470406
270,GMB,Gambia,40,44,1990,female,30.515649
270,GMB,Gambia,45,49,1990,female,26.531632
270,GMB,Gambia,50,54,1990,female,22.528643
270,GMB,Gambia,55,59,1990,female,18.664655
270,GMB,Gambia,60,64,1990,female,14.96399
270,GMB,Gambia,65,69,1990,female,11.644516
270,GMB,Gambia,70,74,1990,female,8.7200205
270,GMB,Gambia,75,79,1990,female,6.3329434
270,GMB,Gambia,80,84,1990,female,4.4810456
270,GMB,Gambia,85,89,1990,female,3.2009134
270,GMB,Gambia,90,94,1990,female,2.329375
270,GMB,Gambia,95,99,1990,female,1.7153657
270,GMB,Gambia,100,120,1990,female,1.5
270,GMB,Gambia,0,0,1995,female,56.233185
270,GMB,Gambia,1,4,1995,female,58.872134
270,GMB,Gambia,5,9,1995,female,58.849934
270,GMB,Gambia,10,14,1995,female,55.110698
270,GMB,Gambia,15,19,1995,female,50.763526
270,GMB,Gambia,20,24,1995,female,46.662491
270,GMB,Gambia,25,29,1995,female,42.717119
270,GMB,Gambia,30,34,1995,female,38.78952
270,GMB,Gambia,35,39,1995,female,34.807327
270,GMB,Gambia,40,44,1995,female,30.812436
270,GMB,Gambia,45,49,1995,female,26.795848
270,GMB,Gambia,50,54,1995,female,22.766485
270,GMB,Gambia,55,59,1995,female,18.876708
270,GMB,Gambia,60,64,1995,female,15.149417
270,GMB,Gambia,65,69,1995,female,11.797086
270,GMB,Gambia,70,74,1995,female,8.83858
270,GMB,Gambia,75,79,1995,female,6.4184516
