outcome,time,sex,age_min,age_max,data_value,ci_lower,ci_upper
cirrhosis_mortality,1990,Female,0,14.5,7.14E-07,2.86E-07,1.53E-06
cirrhosis_mortality,1990,Female,15,49.5,3.46E-05,2.02E-05,5.05E-05
cirrhosis_mortality,1990,Female,50,69.5,0.000285276,0.000158558,0.000419887
cirrhosis_mortality,1990,Female,70,99.5,0.000956643,0.000507459,0.001375958
cirrhosis_mortality,1990,Male,0,14.5,1.93E-06,7.98E-07,3.72E-06
cirrhosis_mortality,1990,Male,15,49.5,7.80E-05,3.83E-05,0.000138985
cirrhosis_mortality,1990,Male,50,69.5,0.000634566,0.000340646,0.00107309
cirrhosis_mortality,1990,Male,70,99.5,0.001103896,0.000511843,0.001848228
cirrhosis_mortality,2017,Female,0,14.5,3.07E-07,1.26E-07,6.18E-07
cirrhosis_mortality,2017,Female,15,49.5,2.87E-05,1.81E-05,4.15E-05
cirrhosis_mortality,2017,Female,50,69.5,0.000207503,0.000114456,0.000346798
cirrhosis_mortality,2017,Female,70,99.5,0.000695815,0.000402538,0.001106428
cirrhosis_mortality,2017,Male,0,14.5,1.08E-06,4.58E-07,2.19E-06
cirrhosis_mortality,2017,Male,15,49.5,6.82E-05,4.05E-05,0.000105064
cirrhosis_mortality,2017,Male,50,69.5,0.000562578,0.000385925,0.00080575
cirrhosis_mortality,2017,Male,70,99.5,0.001034152,0.000735219,0.001447213
