"outcome","id_paper","id_group","id_proc","paper_first_author","paper_year","pop_group_clinical","geographic_scope","study_link","time","sex","age","data_value","ci_lower","ci_upper","sample_size"
"HBeAg_prevalence","GMB16",2,"a","Whittle",1983,"HBsAg_positive_general_population","Sub-national","KM vaccine cohort",1980,"Female",46,0,NA,NA,11
"HBeAg_prevalence","GMB16",2,"b","Whittle",1983,"HBsAg_positive_general_population","Sub-national","KM vaccine cohort",1980,"Female",46,0.2,NA,NA,20
"HBeAg_prevalence","GMB12",4,"b","Ryder",1992,"HBsAg_positive_general_population","National",NA,1982,"Female",30.5,0.276,NA,NA,29
"HBeAg_prevalence","V2",1,"x","Chotard",1992,"HBsAg_positive_general_population","National","GHIS",1990,"Female",30,0.137,NA,NA,131
"HBeAg_prevalence","V3",1,"x","Fortuin",1993,"HBsAg_positive_general_population","National","GHIS",1991,"Female",31,0.126,NA,NA,87
"HBeAg_prevalence","GMB1",2,"x","Lemoine",2016,"HBsAg_positive_blood_donors","Sub-national","PROLIFICA",2013,"Male",31,0.079,NA,NA,291
"HBeAg_prevalence","GMB16",1,"a","Whittle",1983,"HBsAg_positive_general_population","Sub-national","KM vaccine cohort",1980,"Mixed",1,1,NA,NA,4
"HBeAg_prevalence","GMB16",1,"b","Whittle",1983,"HBsAg_positive_general_population","Sub-national","KM vaccine cohort",1980,"Mixed",1,1,NA,NA,3
"HBeAg_prevalence","GMB16",1,"a","Whittle",1983,"HBsAg_positive_general_population","Sub-national","KM vaccine cohort",1980,"Mixed",3.5,0.81,NA,NA,11
"HBeAg_prevalence","GMB16",1,"b","Whittle",1983,"HBsAg_positive_general_population","Sub-national","KM vaccine cohort",1980,"Mixed",3.5,0.81,NA,NA,11
"HBeAg_prevalence","GMB16",1,"a","Whittle",1983,"HBsAg_positive_general_population","Sub-national","KM vaccine cohort",1980,"Mixed",7.5,0.6,NA,NA,12
"HBeAg_prevalence","GMB16",1,"b","Whittle",1983,"HBsAg_positive_general_population","Sub-national","KM vaccine cohort",1980,"Mixed",7.5,0.6,NA,NA,21
"HBeAg_prevalence","GMB16",1,"a","Whittle",1983,"HBsAg_positive_general_population","Sub-national","KM vaccine cohort",1980,"Mixed",12.5,0.25,NA,NA,12
"HBeAg_prevalence","GMB16",1,"b","Whittle",1983,"HBsAg_positive_general_population","Sub-national","KM vaccine cohort",1980,"Mixed",12.5,0,NA,NA,5
"HBeAg_prevalence","GMB7",1,"x","Ryder",1984,"HBsAg_positive_hospital_patients_not_HBV_related","National",NA,1981.5,"Mixed",1.5,0.5,NA,NA,4
"HBeAg_prevalence","GMB12",1,"x","Ryder",1992,"HBsAg_positive_HCC_patients_cirrhosis_unknown","National",NA,1982,"Mixed",32.5,0.31,NA,NA,29
"HBeAg_prevalence","GMB12",1,"x","Ryder",1992,"HBsAg_positive_HCC_patients_cirrhosis_unknown","National",NA,1982,"Mixed",61.5,0.06,NA,NA,34
"HBeAg_prevalence","GMB12",2,"x","Ryder",1992,"HBsAg_positive_general_population_matched","National",NA,1982,"Mixed",48,0,NA,NA,14
"HBeAg_prevalence","GMB12",4,"a","Ryder",1992,"HBsAg_positive_general_population","National",NA,1982,"Mixed",7.5,0.67,NA,NA,73
"HBeAg_prevalence","GMB12",4,"a","Ryder",1992,"HBsAg_positive_general_population","National",NA,1982,"Mixed",34,0.15,NA,NA,86
"HBeAg_prevalence","8",1,"x","Mendy",2008,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1984,"Mixed",3,0.838,NA,NA,68
"HBeAg_prevalence","8",1,"x","Mendy",2008,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1984,"Mixed",7.5,0.584,NA,NA,65
"HBeAg_prevalence","8",1,"x","Mendy",2008,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1984,"Mixed",12.5,0.46,NA,NA,39
"HBeAg_prevalence","8",1,"x","Mendy",2008,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1984,"Mixed",17.5,0.333,NA,NA,18
"HBeAg_prevalence","GMB18",1,"x","Mayans",1990,"General_population","Sub-national - multiple locations",NA,1988,"Mixed",3,0.74,NA,NA,140
"HBeAg_prevalence","GMB18",2,"x","Mayans",1990,"General_population","Sub-national - multiple locations",NA,1988,"Mixed",34,0.07,NA,NA,103
"HBeAg_prevalence","8",1,"x","Mendy",2008,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1989,"Mixed",7.5,0.595,NA,NA,42
"HBeAg_prevalence","8",1,"x","Mendy",2008,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1989,"Mixed",12.5,0.413,NA,NA,46
"HBeAg_prevalence","8",1,"x","Mendy",2008,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1989,"Mixed",17.5,0.428,NA,NA,21
"HBeAg_prevalence","8",1,"x","Mendy",2008,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1989,"Mixed",22.5,0.166,NA,NA,6
"HBeAg_prevalence","GMB3",1,"x","Mendy",1999,"Chronic_HBV_carriers","National","KM cohort of chronic carriers, GHIS",1992,"Mixed",11.5,0.49,NA,NA,285
"HBeAg_prevalence","8",1,"x","Mendy",2008,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1993,"Mixed",12,0.363,NA,NA,33
"HBeAg_prevalence","8",1,"x","Mendy",2008,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1993,"Mixed",16.5,0.344,NA,NA,29
"HBeAg_prevalence","8",1,"x","Mendy",2008,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1993,"Mixed",21.5,0.222,NA,NA,9
"HBeAg_prevalence","V9",4,"a","Whittle",1995,"Chronic_HBV_carriers","National","GHIS",1993,"Mixed",4,0.75,NA,NA,75
"HBeAg_prevalence","V9",4,"b","Whittle",1995,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1993,"Mixed",7.5,0.41,NA,NA,17
"HBeAg_prevalence","V9",4,"b","Whittle",1995,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1993,"Mixed",12.5,0.37,NA,NA,50
"HBeAg_prevalence","V9",4,"b","Whittle",1995,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1993,"Mixed",20,0.23,NA,NA,52
"HBeAg_prevalence","V9",4,"b","Whittle",1995,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1993,"Mixed",30,0.22,NA,NA,25
"HBeAg_prevalence","V9",4,"b","Whittle",1995,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1993,"Mixed",40,0.14,NA,NA,22
"HBeAg_prevalence","V9",4,"b","Whittle",1995,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1993,"Mixed",52.5,0,NA,NA,20
"HBeAg_prevalence","1",1,"x","Shimakawa",2016,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1993.5,"Mixed",1,0.94,NA,NA,44
"HBeAg_prevalence","1",1,"x","Shimakawa",2016,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1993.5,"Mixed",3,0.89,NA,NA,44
"HBeAg_prevalence","1",1,"x","Shimakawa",2016,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1993.5,"Mixed",5,0.68,NA,NA,38
"HBeAg_prevalence","1",1,"x","Shimakawa",2016,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1993.5,"Mixed",7,0.56,NA,NA,33
"HBeAg_prevalence","1",1,"x","Shimakawa",2016,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1993.5,"Mixed",9,0.6,NA,NA,33
"HBeAg_prevalence","1",1,"x","Shimakawa",2016,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1993.5,"Mixed",11,0.28,NA,NA,22
"HBeAg_prevalence","1",1,"x","Shimakawa",2016,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1993.5,"Mixed",13,0.26,NA,NA,22
"HBeAg_prevalence","1",1,"x","Shimakawa",2016,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1993.5,"Mixed",15,0.25,NA,NA,18
"HBeAg_prevalence","1",1,"x","Shimakawa",2016,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1993.5,"Mixed",17,0.24,NA,NA,16
"HBeAg_prevalence","1",1,"x","Shimakawa",2016,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1993.5,"Mixed",19,0.08,NA,NA,16
"HBeAg_prevalence","1",1,"x","Shimakawa",2016,"Chronic_HBV_carriers","Sub-national","KM cohort of chronic carriers",1993.5,"Mixed",25,0.1,NA,NA,118
"HBeAg_prevalence","GMB15",1,"x","Mendy",2010,"HBsAg_positive_HCC_patients_cirrhosis_unknown","National","GLCS subset",1999,"Mixed",26,0.23,NA,NA,40
"HBeAg_prevalence","GMB15",1,"x","Mendy",2010,"HBsAg_positive_HCC_patients_cirrhosis_unknown","National","GLCS subset",1999,"Mixed",40,0.11,NA,NA,36
