,,,,,,"Age-specific fertility rates (births per 1,000 women)",,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Period,15-19,20-24,25-29,30-34,35-39,40-44,45-49
1,Medium variant,WORLD,,900,2015-2020,43.9292,141.1516,142.0463,95.8521,50.9771,16.9896,3.7679
2,Medium variant,WORLD,,900,2020-2025,40.2258,133.7088,141.0093,99.5993,51.6623,16.9617,3.6466
3,Medium variant,WORLD,,900,2025-2030,37.3904,127.0565,139.6664,101.9559,52.5270,16.6146,3.4949
4,Medium variant,WORLD,,900,2030-2035,35.0406,120.0507,137.7479,103.2797,53.8672,16.4999,3.2093
5,Medium variant,WORLD,,900,2035-2040,33.0553,113.9422,135.5848,104.4885,54.6380,16.3507,3.0607
6,Medium variant,WORLD,,900,2040-2045,31.3152,108.8636,133.6667,105.8119,55.3203,16.1235,3.0631
7,Medium variant,WORLD,,900,2045-2050,29.6212,104.3332,132.2081,106.9047,56.0514,15.8806,3.0063
8,Medium variant,WORLD,,900,2050-2055,27.8862,99.9484,130.9019,107.8307,56.5787,15.5884,2.8590
9,Medium variant,WORLD,,900,2055-2060,26.1112,95.5034,129.5636,108.7282,56.9254,15.1802,2.6875
10,Medium variant,WORLD,,900,2060-2065,24.4241,91.1970,128.2808,109.7348,57.3730,14.7286,2.5280
11,Medium variant,WORLD,,900,2065-2070,22.8590,87.1060,126.9600,110.8161,57.8193,14.3241,2.3822
12,Medium variant,WORLD,,900,2070-2075,21.4054,83.3320,125.6769,111.9494,58.2355,13.9618,2.2371
13,Medium variant,WORLD,,900,2075-2080,20.0183,79.8227,124.4897,113.1004,58.5931,13.6269,2.0840
14,Medium variant,WORLD,,900,2080-2085,18.6676,76.4638,123.3774,114.2751,58.9039,13.3046,1.9254
15,Medium variant,WORLD,,900,2085-2090,17.3633,73.1626,122.2450,115.4527,59.1897,13.0065,1.7596
16,Medium variant,WORLD,,900,2090-2095,16.1212,69.9042,121.0708,116.6513,59.4534,12.7335,1.5992
17,Medium variant,WORLD,,900,2095-2100,14.9696,66.7523,119.8842,117.8862,59.7033,12.4852,1.4540
18,Medium variant,More developed regions,a,901,2015-2020,14.0522,54.7598,98.6699,103.2981,55.0934,11.7352,0.6708
19,Medium variant,More developed regions,a,901,2020-2025,9.2677,43.2481,100.6625,116.5918,60.6168,12.4199,0.6417
20,Medium variant,More developed regions,a,901,2025-2030,8.5966,41.6525,100.7236,121.0567,63.8141,13.2133,0.6834
21,Medium variant,More developed regions,a,901,2030-2035,8.0504,40.6928,101.0074,123.6927,66.0399,13.8081,0.7061
22,Medium variant,More developed regions,a,901,2035-2040,7.6520,40.1290,101.4966,125.3707,67.5399,14.2996,0.7378
23,Medium variant,More developed regions,a,901,2040-2045,7.3995,39.9160,102.2134,126.7046,68.4343,14.6938,0.7780
24,Medium variant,More developed regions,a,901,2045-2050,7.2749,39.9062,102.9307,127.8695,68.9518,14.9392,0.8103
25,Medium variant,More developed regions,a,901,2050-2055,7.2251,40.0014,103.5772,128.9305,69.2236,15.0379,0.8245
26,Medium variant,More developed regions,a,901,2055-2060,7.2165,40.1390,104.0672,129.7004,69.3581,15.0404,0.8212
27,Medium variant,More developed regions,a,901,2060-2065,7.2232,40.2791,104.4722,130.2247,69.4904,15.0019,0.8123
