time,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95+
1950-1955,11.163,1.415,0.758,0.785,0.891,0.808,0.718,0.650,0.570,0.529,0.559,0.655,0.793,0.879,0.827,0.611,0.325,0.081,0.008,0.000
1955-1960,13.303,1.390,0.756,0.895,1.153,1.028,0.788,0.660,0.584,0.545,0.578,0.675,0.810,0.880,0.801,0.556,0.254,0.064,0.008,0.000
1960-1965,14.778,1.638,0.798,0.873,1.166,1.210,0.995,0.727,0.599,0.580,0.620,0.722,0.862,0.934,0.841,0.572,0.253,0.056,0.006,0.000
1965-1970,14.366,1.527,0.795,0.903,1.192,1.125,0.939,0.733,0.545,0.541,0.644,0.767,0.909,0.972,0.883,0.604,0.267,0.062,0.007,0.000
1970-1975,14.629,1.539,0.739,0.808,1.074,1.089,0.878,0.652,0.496,0.418,0.528,0.731,0.910,0.984,0.888,0.630,0.292,0.073,0.009,0.000
1975-1980,14.680,1.535,0.741,0.804,1.103,1.004,0.809,0.642,0.482,0.419,0.428,0.611,0.887,1.048,0.995,0.714,0.356,0.098,0.013,0.000
1980-1985,14.817,1.505,0.753,0.743,0.960,1.045,0.791,0.586,0.488,0.412,0.436,0.516,0.772,1.066,1.131,0.886,0.458,0.140,0.025,0.002
1985-1990,15.435,1.565,0.776,0.837,1.009,0.961,0.848,0.619,0.481,0.453,0.452,0.552,0.718,1.026,1.257,1.089,0.626,0.202,0.037,0.003
1990-1995,15.810,1.764,0.960,0.947,1.159,1.175,0.993,0.804,0.580,0.505,0.551,0.615,0.836,1.117,1.428,1.379,0.841,0.300,0.058,0.005
1995-2000,15.022,1.751,1.066,1.126,1.268,1.198,1.083,0.907,0.740,0.581,0.592,0.729,0.894,1.248,1.579,1.611,1.087,0.400,0.083,0.007
2000-2005,14.349,1.758,1.152,1.212,1.474,1.355,1.162,1.028,0.856,0.743,0.668,0.774,1.040,1.302,1.707,1.779,1.274,0.529,0.116,0.012
2005-2010,13.411,1.734,1.238,1.244,1.506,1.478,1.263,1.096,0.990,0.885,0.871,0.866,1.088,1.480,1.747,1.887,1.414,0.622,0.156,0.016
2010-2015,13.143,1.695,1.361,1.347,1.580,1.541,1.411,1.224,1.085,1.054,1.059,1.145,1.226,1.564,2.010,1.979,1.537,0.718,0.187,0.022
