time,age,age_interval,mortality_rate
1950-1955,0,1,0.16614
1950-1955,1,4,0.07652
1950-1955,5,5,0.01433
1950-1955,10,5,0.00738
1950-1955,15,5,0.01049
1950-1955,20,5,0.01313
1950-1955,25,5,0.01420
1950-1955,30,5,0.01476
1950-1955,35,5,0.01567
1950-1955,40,5,0.01605
1950-1955,45,5,0.01709
1950-1955,50,5,0.02253
1950-1955,55,5,0.03104
1950-1955,60,5,0.05157
1950-1955,65,5,0.08059
1950-1955,70,5,0.13131
1950-1955,75,5,0.20906
1950-1955,80,5,0.32166
1950-1955,85,15,0.45953
1955-1960,0,1,0.15875
1955-1960,1,4,0.07178
1955-1960,5,5,0.01358
1955-1960,10,5,0.00701
1955-1960,15,5,0.00997
1955-1960,20,5,0.01249
1955-1960,25,5,0.01352
1955-1960,30,5,0.01405
1955-1960,35,5,0.01494
1955-1960,40,5,0.01534
1955-1960,45,5,0.01637
1955-1960,50,5,0.02160
1955-1960,55,5,0.02977
1955-1960,60,5,0.04937
1955-1960,65,5,0.07716
1955-1960,70,5,0.12567
1955-1960,75,5,0.19988
1955-1960,80,5,0.30824
1955-1960,85,15,0.44409
1960-1965,0,1,0.15182
1960-1965,1,4,0.06737
1960-1965,5,5,0.01287
1960-1965,10,5,0.00666
1960-1965,15,5,0.00948
1960-1965,20,5,0.01189
1960-1965,25,5,0.01287
1960-1965,30,5,0.01338
1960-1965,35,5,0.01424
1960-1965,40,5,0.01466
1960-1965,45,5,0.01569
1960-1965,50,5,0.02072
1960-1965,55,5,0.02856
1960-1965,60,5,0.04730
1960-1965,65,5,0.07394
1960-1965,70,5,0.12044
1960-1965,75,5,0.19151
1960-1965,80,5,0.29605
1960-1965,85,15,0.42999
1965-1970,0,1,0.13287
1965-1970,1,4,0.05552
1965-1970,5,5,0.01192
1965-1970,10,5,0.00615
1965-1970,15,5,0.00882
1965-1970,20,5,0.01106
1965-1970,25,5,0.01199
1965-1970,30,5,0.01246
1965-1970,35,5,0.01329
1965-1970,40,5,0.01374
1965-1970,45,5,0.01476
1965-1970,50,5,0.01952
1965-1970,55,5,0.02693
1965-1970,60,5,0.04452
1965-1970,65,5,0.06963
1965-1970,70,5,0.11352
1965-1970,75,5,0.18063
1965-1970,80,5,0.28030
1965-1970,85,15,0.41206
1970-1975,0,1,0.11727
1970-1975,1,4,0.04595
1970-1975,5,5,0.00959
1970-1975,10,5,0.00503
1970-1975,15,5,0.00723
1970-1975,20,5,0.00908
1970-1975,25,5,0.00989
1970-1975,30,5,0.01027
1970-1975,35,5,0.01103
1970-1975,40,5,0.01155
1970-1975,45,5,0.01255
1970-1975,50,5,0.01667
1970-1975,55,5,0.02306
1970-1975,60,5,0.03795
1970-1975,65,5,0.05961
1970-1975,70,5,0.09771
1970-1975,75,5,0.15648
1970-1975,80,5,0.24586
1970-1975,85,15,0.37237
1975-1980,0,1,0.10373
1975-1980,1,4,0.03770
1975-1980,5,5,0.00762
1975-1980,10,5,0.00410
1975-1980,15,5,0.00594
1975-1980,20,5,0.00747
1975-1980,25,5,0.00818
1975-1980,30,5,0.00848
1975-1980,35,5,0.00917
1975-1980,40,5,0.00974
1975-1980,45,5,0.01073
1975-1980,50,5,0.01431
1975-1980,55,5,0.01989
1975-1980,60,5,0.03261
1975-1980,65,5,0.05160
1975-1980,70,5,0.08545
1975-1980,75,5,0.13837
1975-1980,80,5,0.22067
1975-1980,85,15,0.34374
1980-1985,0,1,0.09214
1980-1985,1,4,0.03060
1980-1985,5,5,0.00593
1980-1985,10,5,0.00329
1980-1985,15,5,0.00481
1980-1985,20,5,0.00609
1980-1985,25,5,0.00671
1980-1985,30,5,0.00700
1980-1985,35,5,0.00763
1980-1985,40,5,0.00827
1980-1985,45,5,0.00928
1980-1985,50,5,0.01248
1980-1985,55,5,0.01744
1980-1985,60,5,0.02853
1980-1985,65,5,0.04561
1980-1985,70,5,0.07652
1980-1985,75,5,0.12567
1980-1985,80,5,0.20362
1980-1985,85,15,0.32526
1985-1990,0,1,0.08330
1985-1990,1,4,0.02529
1985-1990,5,5,0.00483
1985-1990,10,5,0.00274
1985-1990,15,5,0.00402
1985-1990,20,5,0.00512
1985-1990,25,5,0.00568
1985-1990,30,5,0.00596
1985-1990,35,5,0.00657
1985-1990,40,5,0.00726
1985-1990,45,5,0.00828
1985-1990,50,5,0.01124
1985-1990,55,5,0.01577
1985-1990,60,5,0.02580
1985-1990,65,5,0.04158
1985-1990,70,5,0.07052
1985-1990,75,5,0.11727
1985-1990,80,5,0.19249
1985-1990,85,15,0.31353
1990-1995,0,1,0.07307
1990-1995,1,4,0.02184
1990-1995,5,5,0.00472
1990-1995,10,5,0.00265
1990-1995,15,5,0.00392
1990-1995,20,5,0.00500
1990-1995,25,5,0.00556
1990-1995,30,5,0.00583
1990-1995,35,5,0.00644
1990-1995,40,5,0.00713
1990-1995,45,5,0.00815
1990-1995,50,5,0.01108
1990-1995,55,5,0.01555
1990-1995,60,5,0.02545
1990-1995,65,5,0.04106
1990-1995,70,5,0.06975
1990-1995,75,5,0.11619
1990-1995,80,5,0.19106
1990-1995,85,15,0.31243
1995-2000,0,1,0.06401
1995-2000,1,4,0.01689
1995-2000,5,5,0.00443
1995-2000,10,5,0.00247
1995-2000,15,5,0.00370
1995-2000,20,5,0.00473
1995-2000,25,5,0.00527
1995-2000,30,5,0.00553
1995-2000,35,5,0.00613
1995-2000,40,5,0.00684
1995-2000,45,5,0.00785
1995-2000,50,5,0.01071
1995-2000,55,5,0.01506
1995-2000,60,5,0.02464
1995-2000,65,5,0.03987
1995-2000,70,5,0.06797
1995-2000,75,5,0.11370
1995-2000,80,5,0.18777
1995-2000,85,15,0.30900
2000-2005,0,1,0.05624
2000-2005,1,4,0.01271
2000-2005,5,5,0.00417
2000-2005,10,5,0.00230
2000-2005,15,5,0.00350
2000-2005,20,5,0.00448
2000-2005,25,5,0.00500
2000-2005,30,5,0.00527
2000-2005,35,5,0.00586
2000-2005,40,5,0.00657
2000-2005,45,5,0.00759
2000-2005,50,5,0.01038
2000-2005,55,5,0.01461
2000-2005,60,5,0.02392
