time,age,age_interval,mortality_rate
1950-1955,0,1,0.18217
1950-1955,1,4,0.08663
1950-1955,5,5,0.01341
1950-1955,10,5,0.00667
1950-1955,15,5,0.01004
1950-1955,20,5,0.01529
1950-1955,25,5,0.01530
1950-1955,30,5,0.01514
1950-1955,35,5,0.01672
1950-1955,40,5,0.01986
1950-1955,45,5,0.02330
1950-1955,50,5,0.02970
1950-1955,55,5,0.03952
1950-1955,60,5,0.05894
1950-1955,65,5,0.08745
1950-1955,70,5,0.13748
1950-1955,75,5,0.21499
1950-1955,80,5,0.32532
1950-1955,85,15,0.47053
1955-1960,0,1,0.17418
1955-1960,1,4,0.08141
1955-1960,5,5,0.01273
1955-1960,10,5,0.00635
1955-1960,15,5,0.00956
1955-1960,20,5,0.01455
1955-1960,25,5,0.01456
1955-1960,30,5,0.01445
1955-1960,35,5,0.01597
1955-1960,40,5,0.01900
1955-1960,45,5,0.02234
1955-1960,50,5,0.02856
1955-1960,55,5,0.03807
1955-1960,60,5,0.05675
1955-1960,65,5,0.08418
1955-1960,70,5,0.13225
1955-1960,75,5,0.20671
1955-1960,80,5,0.31341
1955-1960,85,15,0.45685
1960-1965,0,1,0.16666
1960-1965,1,4,0.07655
1960-1965,5,5,0.01207
1960-1965,10,5,0.00604
1960-1965,15,5,0.00909
1960-1965,20,5,0.01385
1960-1965,25,5,0.01385
1960-1965,30,5,0.01378
1960-1965,35,5,0.01525
1960-1965,40,5,0.01817
1960-1965,45,5,0.02143
1960-1965,50,5,0.02747
1960-1965,55,5,0.03668
1960-1965,60,5,0.05468
1960-1965,65,5,0.08109
1960-1965,70,5,0.12740
1960-1965,75,5,0.19920
1960-1965,80,5,0.30270
1960-1965,85,15,0.44453
1965-1970,0,1,0.14536
1965-1970,1,4,0.06307
1965-1970,5,5,0.01108
1965-1970,10,5,0.00563
1965-1970,15,5,0.00846
1965-1970,20,5,0.01289
1965-1970,25,5,0.01288
1965-1970,30,5,0.01287
