time,age,age_interval,survival_ratio
1950-1955,0,1,0.72332
1950-1955,1,4,0.80466
1950-1955,5,5,0.95063
1950-1955,10,5,0.96069
1950-1955,15,5,0.93832
1950-1955,20,5,0.92506
1950-1955,25,5,0.92699
1950-1955,30,5,0.92405
1950-1955,35,5,0.91301
1950-1955,40,5,0.89823
1950-1955,45,5,0.87706
1950-1955,50,5,0.84303
1950-1955,55,5,0.78508
1950-1955,60,5,0.69731
1950-1955,65,5,0.57604
1950-1955,70,5,0.41996
1950-1955,75,5,0.26243
1950-1955,80,5,0.13138
1950-1955,85,15,…
1955-1960,0,1,0.73457
1955-1960,1,4,0.81525
1955-1960,5,5,0.95305
1955-1960,10,5,0.96254
1955-1960,15,5,0.94119
1955-1960,20,5,0.92855
1955-1960,25,5,0.93032
1955-1960,30,5,0.92736
1955-1960,35,5,0.91668
1955-1960,40,5,0.90231
1955-1960,45,5,0.88164
1955-1960,50,5,0.84844
1955-1960,55,5,0.79213
1955-1960,60,5,0.70676
1955-1960,65,5,0.58815
1955-1960,70,5,0.43417
1955-1960,75,5,0.27607
1955-1960,80,5,0.13977
1955-1960,85,15,…
1960-1965,0,1,0.74536
1960-1965,1,4,0.82522
1960-1965,5,5,0.95539
1960-1965,10,5,0.96432
1960-1965,15,5,0.94395
1960-1965,20,5,0.93190
1960-1965,25,5,0.93351
1960-1965,30,5,0.93055
1960-1965,35,5,0.92022
1960-1965,40,5,0.90623
1960-1965,45,5,0.88604
1960-1965,50,5,0.85364
1960-1965,55,5,0.79887
1960-1965,60,5,0.71580
1960-1965,65,5,0.59971
1960-1965,70,5,0.44763
1960-1965,75,5,0.28899
1960-1965,80,5,0.14778
1960-1965,85,15,…
1965-1970,0,1,0.77696
1965-1970,1,4,0.85161
1965-1970,5,5,0.95880
1965-1970,10,5,0.96675
1965-1970,15,5,0.94775
1965-1970,20,5,0.93652
1965-1970,25,5,0.93791
1965-1970,30,5,0.93493
1965-1970,35,5,0.92508
1965-1970,40,5,0.91162
1965-1970,45,5,0.89210
1965-1970,50,5,0.86082
1965-1970,55,5,0.80821
1965-1970,60,5,0.72832
1965-1970,65,5,0.61573
1965-1970,70,5,0.46634
1965-1970,75,5,0.30709
1965-1970,80,5,0.15912
1965-1970,85,15,…
1970-1975,0,1,0.80421
1970-1975,1,4,0.87601
1970-1975,5,5,0.96657
1970-1975,10,5,0.97280
1970-1975,15,5,0.95709
1970-1975,20,5,0.94790
1970-1975,25,5,0.94875
1970-1975,30,5,0.94573
1970-1975,35,5,0.93706
1970-1975,40,5,0.92491
1970-1975,45,5,0.90706
1970-1975,50,5,0.87858
1970-1975,55,5,0.83128
1970-1975,60,5,0.75929
1970-1975,65,5,0.65539
1970-1975,70,5,0.51260
1970-1975,75,5,0.35236
1970-1975,80,5,0.18771
1970-1975,85,15,…
1975-1980,0,1,0.82901
1975-1980,1,4,0.89727
1975-1980,5,5,0.97311
1975-1980,10,5,0.97779
1975-1980,15,5,0.96482
1975-1980,20,5,0.95730
1975-1980,25,5,0.95770
1975-1980,30,5,0.95466
1975-1980,35,5,0.94695
1975-1980,40,5,0.93589
1975-1980,45,5,0.91944
1975-1980,50,5,0.89327
1975-1980,55,5,0.85040
