time,age,age_interval,survivors
1950-1955,0,1,100000.000
1950-1955,1,4,83764.370
1950-1955,5,5,60153.450
1950-1955,10,5,56251.045
1950-1955,15,5,54406.646
1950-1955,20,5,51738.751
1950-1955,25,5,47926.604
1950-1955,30,5,44396.463
1950-1955,35,5,41158.752
1950-1955,40,5,37854.030
1950-1955,45,5,34271.697
1950-1955,50,5,30496.171
1950-1955,55,5,26274.640
1950-1955,60,5,21538.926
1950-1955,65,5,15994.037
1950-1955,70,5,10257.419
1950-1955,75,5,5062.619
1950-1955,80,5,1651.090
1950-1955,85,15,296.363
1955-1960,0,1,100000.000
1955-1960,1,4,84402.430
1955-1960,5,5,61791.780
1955-1960,10,5,57980.371
1955-1960,15,5,56168.853
1955-1960,20,5,53543.658
1955-1960,25,5,49781.053
1955-1960,30,5,46285.437
1955-1960,35,5,43059.172
1955-1960,40,5,39751.153
1955-1960,45,5,36144.819
1955-1960,50,5,32317.818
1955-1960,55,5,28004.657
1955-1960,60,5,23126.582
1955-1960,65,5,17365.853
1955-1960,70,5,11327.249
1955-1960,75,5,5747.152
1955-1960,80,5,1960.420
1955-1960,85,15,375.403
1960-1965,0,1,100000.000
1960-1965,1,4,85008.300
1960-1965,5,5,63365.130
1960-1965,10,5,59652.000
1960-1965,15,5,57877.141
1960-1965,20,5,55300.356
1960-1965,25,5,51595.926
1960-1965,30,5,48143.660
1960-1965,35,5,44937.090
1960-1965,40,5,41634.549
1960-1965,45,5,38013.786
1960-1965,50,5,34145.118
1960-1965,55,5,29750.931
1960-1965,60,5,24741.287
1960-1965,65,5,18775.850
1960-1965,70,5,12443.163
1960-1965,75,5,6476.747
1960-1965,80,5,2300.839
1960-1965,85,15,467.011
1965-1970,0,1,100000.000
1965-1970,1,4,86753.840
1965-1970,5,5,67999.440
1965-1970,10,5,64332.988
1965-1970,15,5,62547.979
1965-1970,20,5,59953.659
1965-1970,25,5,56208.204
1965-1970,30,5,52703.242
1965-1970,35,5,49417.769
1965-1970,40,5,46012.631
1965-1970,45,5,42249.180
1965-1970,50,5,38188.561
1965-1970,55,5,33525.564
1965-1970,60,5,28149.132
1965-1970,65,5,21672.826
1965-1970,70,5,14676.659
1965-1970,75,5,7906.619
1965-1970,80,5,2964.442
1965-1970,85,15,650.065
1970-1975,0,1,100000.000
1970-1975,1,4,88222.580
1970-1975,5,5,72024.080
1970-1975,10,5,68875.164
1970-1975,15,5,67313.359
1970-1975,20,5,65025.955
