"time","0","0.5","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10","10.5","11","11.5","12","12.5","13","13.5","14","14.5","15","15.5","16","16.5","17","17.5","18","18.5","19","19.5","20","20.5","21","21.5","22","22.5","23","23.5","24","24.5","25","25.5","26","26.5","27","27.5","28","28.5","29","29.5","30","30.5","31","31.5","32","32.5","33","33.5","34","34.5","35","35.5","36","36.5","37","37.5","38","38.5","39","39.5","40","40.5","41","41.5","42","42.5","43","43.5","44","44.5","45","45.5","46","46.5","47","47.5","48","48.5","49","49.5","50","50.5","51","51.5","52","52.5","53","53.5","54","54.5","55","55.5","56","56.5","57","57.5","58","58.5","59","59.5","60","60.5","61","61.5","62","62.5","63","63.5","64","64.5","65","65.5","66","66.5","67","67.5","68","68.5","69","69.5","70","70.5","71","71.5","72","72.5","73","73.5","74","74.5","75","75.5","76","76.5","77","77.5","78","78.5","79","79.5","80","80.5","81","81.5","82","82.5","83","83.5","84","84.5","85","85.5","86","86.5","87","87.5","88","88.5","89","89.5","90","90.5","91","91.5","92","92.5","93","93.5","94","94.5","95","95.5","96","96.5","97","97.5","98","98.5","99","99.5"
1950,31.43971,33.68173,35.92376,36.8999,37.87605,38.85219,39.82834,40.80449,41.78063,42.75678,43.73292,43.53936,43.34581,43.15225,42.95869,42.76513,42.57157,42.37801,42.18446,41.9909,41.79734,41.44504,41.09274,40.74044,40.38814,40.03584,39.68354,39.33124,38.97894,38.62663,38.27433,37.96661,37.65889,37.35116,37.04344,36.73571,36.42799,36.12027,35.81254,35.50482,35.19709,34.91898,34.64086,34.36274,34.08463,33.80651,33.52839,33.25027,32.97216,32.69404,32.41592,32.1361,31.85628,31.57646,31.29664,31.01682,30.737,30.45718,30.17736,29.89754,29.61772,29.32563,29.03354,28.74145,28.44936,28.15727,27.86518,27.57308,27.28099,26.9889,26.69681,26.39425,26.0917,25.78914,25.48658,25.18403,24.88147,24.57891,24.27635,23.9738,23.67124,23.34837,23.02549,22.70262,22.37975,22.05688,21.734,21.41113,21.08826,20.76539,20.44252,20.10246,19.7624,19.42234,19.08228,18.74223,18.40217,18.06211,17.72205,17.38199,17.04194,16.71497,16.38799,16.06102,15.73405,15.40708,15.08011,14.75314,14.42617,14.0992,13.77223,13.46077,13.14931,12.83786,12.5264,12.21494,11.90348,11.59203,11.28057,10.96911,10.65766,10.3977,10.13775,9.877801,9.617849,9.357897,9.097944,8.837992,8.57804,8.318088,8.058136,7.838024,7.617912,7.3978,7.177688,6.957576,6.737465,6.517353,6.297241,6.077129,5.857017,5.687619,5.518222,5.348825,5.179428,5.01003,4.840633,4.671236,4.501838,4.332441,4.163044,4.040553,3.918062,3.795571,3.67308,3.550589,3.428098,3.305608,3.183117,3.060626,2.938135,2.861936,2.785737,2.709537,2.633338,2.557139,2.480939,2.40474,2.328541,2.252342,2.176142,2.119653,2.063164,2.006675,1.950186,1.893697,1.837208,1.780719,1.72423,1.667741,1.611252,1.590969,1.570686,1.550403,1.53012,1.509837,1.489554,1.469271,1.448988,1.428705,1.408422,1.390515,1.372608,1.3547,1.336793,1.318886,1.300978,1.283071,1.265163,1.247256
1950.5,31.572425,33.812694,36.052972,37.024111,37.995259,38.966398,39.937545,40.908693,41.879832,42.85098,43.822119,43.627527,43.432944,43.238353,43.043761,42.849169,42.654578,42.459986,42.265403,42.070811,41.87622,41.523452,41.170685,40.817918,40.46515,40.112383,39.759616,39.406848,39.054081,38.701305,38.348537,38.040231,37.731925,37.423609,37.115303,36.806988,36.498681,36.190375,35.882059,35.573753,35.265438,34.98665,34.707853,34.429056,34.150269,33.871472,33.592675,33.313879,33.035091,32.756294,32.477497,32.197014,31.916531,31.636048,31.355565,31.075082,30.794599,30.514116,30.233633,29.95315,29.672667,29.379938,29.087209,28.79448,28.501751,28.209021,27.916292,27.623554,27.330825,27.038096,26.745367,26.442221,26.139085,25.83594,25.532794,25.229658,24.926512,24.623367,24.320222,24.017085,23.71394,23.39059,23.067232,22.743882,22.420533,22.097183,21.773825,21.450475,21.127125,20.803776,20.480426,20.139987,19.799549,19.45911,19.118671,18.778241,18.437802,18.097363,17.756924,17.416485,17.076055,16.748716,16.421368,16.094029,15.76669,15.439351,15.112012,14.784673,14.457335,14.129996,13.802657,13.490848,13.179039,12.867239,12.55543,12.243621,11.931812,11.620012,11.308204,10.996395,10.684595,10.424221,10.163856,9.9034923,9.6431257,9.3827591,9.1223916,8.862025,8.6016585,8.3412919,8.0809253,7.86041,7.6398947,7.4193794,7.1988641,6.9783488,6.7578344,6.5373191,6.3168038,6.0962886,5.8757733,5.7059936,5.5362149,5.3664362,5.1966575,5.0268778,4.8570991,4.6873204,4.5175407,4.347762,4.1779833,4.0551047,3.9322261,3.8093475,3.686469,3.5635904,3.4407118,3.3178341,3.1949556,3.072077,2.9491984,2.8726497,2.796101,2.7195514,2.6430026,2.5664539,2.4899043,2.4133556,2.3368069,2.2602582,2.1837085,2.1269436,2.0701787,2.0134138,1.9566488,1.8998839,1.843119,1.786354,1.7295891,1.6728242,1.6160592,1.5956103,1.5751614,1.5547125,1.5342635,1.5138146,1.4933657,1.4729168,1.4524679,1.4320189,1.41157,1.3935415,1.3755129,1.3574834,1.3394549,1.3214263,1.3033968,1.2853683,1.2673388,1.2493102
1951,31.70514,33.943658,36.182184,37.148322,38.114468,39.080606,40.04675,41.012896,41.979034,42.94518,43.911318,43.715694,43.520078,43.324456,43.128832,42.933208,42.737586,42.541962,42.346346,42.150722,41.9551,41.601864,41.24863,40.895396,40.54216,40.188926,39.835692,39.482456,39.129222,38.77598,38.422744,38.113852,37.80496,37.496058,37.187166,36.878266,36.569372,36.26048,35.951578,35.642686,35.333786,35.05432,34.774846,34.495372,34.215908,33.936434,33.65696,33.377488,33.098022,32.818548,32.539074,32.257928,31.976782,31.695636,31.41449,31.133344,30.852198,30.571052,30.289906,30.00876,29.727614,29.434246,29.140878,28.84751,28.554142,28.260772,27.967404,27.674028,27.38066,27.087292,26.793924,26.490192,26.18647,25.88274,25.579008,25.275286,24.971554,24.667824,24.364094,24.06037,23.75664,23.43281,23.108974,22.785144,22.461316,22.137486,21.81365,21.48982,21.16599,20.842162,20.518332,20.177514,19.836698,19.49588,19.155062,18.814252,18.473434,18.132616,17.791798,17.45098,17.11017,16.782462,16.454746,16.127038,15.79933,15.471622,15.143914,14.816206,14.4885,14.160792,13.833084,13.520926,13.208768,12.896618,12.58446,12.272302,11.960144,11.647994,11.335838,11.02368,10.71153,10.450742,10.189962,9.9291836,9.6684024,9.4076212,9.1468392,8.886058,8.625277,8.3644958,8.1037146,7.882796,7.6618774,7.4409588,7.2200402,6.9991216,6.7782038,6.5572852,6.3363666,6.1154482,5.8945296,5.7243682,5.5542078,5.3840474,5.213887,5.0437256,4.8735652,4.7034048,4.5332434,4.363083,4.1929226,4.0696564,3.9463902,3.823124,3.699858,3.5765918,3.4533256,3.3300602,3.2067942,3.083528,2.9602618,2.8833634,2.806465,2.7295658,2.6526672,2.5757688,2.4988696,2.4219712,2.3450728,2.2681744,2.191275,2.1342342,2.0771934,2.0201526,1.9631116,1.9060708,1.84903,1.791989,1.7349482,1.6779074,1.6208664,1.6002516,1.5796368,1.559022,1.538407,1.5177922,1.4971774,1.4765626,1.4559478,1.4353328,1.414718,1.396568,1.3784178,1.3602668,1.3421168,1.3239666,1.3058156,1.2876656,1.2695146,1.2513644
1951.5,31.837855,34.074622,36.311396,37.272533,38.233677,39.194814,40.155955,41.117099,42.078236,43.03938,44.000517,43.803861,43.607212,43.410559,43.213903,43.017247,42.820594,42.623938,42.427289,42.230633,42.03398,41.680276,41.326575,40.972874,40.61917,40.265469,39.911768,39.558064,39.204363,38.850655,38.496951,38.187473,37.877995,37.568507,37.259029,36.949544,36.640063,36.330585,36.021097,35.711619,35.402134,35.12199,34.841839,34.561688,34.281547,34.001396,33.721245,33.441097,33.160953,32.880802,32.600651,32.318842,32.037033,31.755224,31.473415,31.191606,30.909797,30.627988,30.346179,30.06437,29.782561,29.488554,29.194547,28.90054,28.606533,28.312523,28.018516,27.724502,27.430495,27.136488,26.842481,26.538163,26.233855,25.92954,25.625222,25.320914,25.016596,24.712281,24.407966,24.103655,23.79934,23.47503,23.150716,22.826406,22.502099,22.177789,21.853475,21.529165,21.204855,20.880548,20.556238,20.215041,19.873847,19.53265,19.191453,18.850263,18.509066,18.167869,17.826672,17.485475,17.144285,16.816208,16.488124,16.160047,15.83197,15.503893,15.175816,14.847739,14.519665,14.191588,13.863511,13.551004,13.238497,12.925997,12.61349,12.300983,11.988476,11.675976,11.363472,11.050965,10.738465,10.477263,10.216068,9.9548749,9.6936791,9.4324833,9.1712868,8.910091,8.6488955,8.3876997,8.1265039,7.905182,7.6838601,7.4625382,7.2412163,7.0198944,6.7985732,6.5772513,6.3559294,6.1346078,5.9132859,5.7427428,5.5722007,5.4016586,5.2311165,5.0605734,4.8900313,4.7194892,4.5489461,4.378404,4.2078619,4.0842081,3.9605543,3.8369005,3.713247,3.5895932,3.4659394,3.3422863,3.2186328,3.094979,2.9713252,2.8940771,2.816829,2.7395802,2.6623318,2.5850837,2.5078349,2.4305868,2.3533387,2.2760906,2.1988415,2.1415248,2.0842081,2.0268914,1.9695744,1.9122577,1.854941,1.797624,1.7403073,1.6829906,1.6256736,1.6048929,1.5841122,1.5633315,1.5425505,1.5217698,1.5009891,1.4802084,1.4594277,1.4386467,1.417866,1.3995945,1.3813227,1.3630502,1.3447787,1.3265069,1.3082344,1.2899629,1.2716904,1.2534186
1952,31.97057,34.205586,36.440608,37.396744,38.352886,39.309022,40.26516,41.221302,42.177438,43.13358,44.089716,43.892028,43.694346,43.496662,43.298974,43.101286,42.903602,42.705914,42.508232,42.310544,42.11286,41.758688,41.40452,41.050352,40.69618,40.342012,39.987844,39.633672,39.279504,38.92533,38.571158,38.261094,37.95103,37.640956,37.330892,37.020822,36.710754,36.40069,36.090616,35.780552,35.470482,35.18966,34.908832,34.628004,34.347186,34.066358,33.78553,33.504706,33.223884,32.943056,32.662228,32.379756,32.097284,31.814812,31.53234,31.249868,30.967396,30.684924,30.402452,30.11998,29.837508,29.542862,29.248216,28.95357,28.658924,28.364274,28.069628,27.774976,27.48033,27.185684,26.891038,26.586134,26.28124,25.97634,25.671436,25.366542,25.061638,24.756738,24.451838,24.14694,23.84204,23.51725,23.192458,22.867668,22.542882,22.218092,21.8933,21.56851,21.24372,20.918934,20.594144,20.252568,19.910996,19.56942,19.227844,18.886274,18.544698,18.203122,17.861546,17.51997,17.1784,16.849954,16.521502,16.193056,15.86461,15.536164,15.207718,14.879272,14.55083,14.222384,13.893938,13.581082,13.268226,12.955376,12.64252,12.329664,12.016808,11.703958,11.391106,11.07825,10.7654,10.503784,10.242174,9.9805662,9.7189558,9.4573454,9.1957344,8.934124,8.672514,8.4109036,8.1492932,7.927568,7.7058428,7.4841176,7.2623924,7.0406672,6.8189426,6.5972174,6.3754922,6.1537674,5.9320422,5.7611174,5.5901936,5.4192698,5.248346,5.0774212,4.9064974,4.7355736,4.5646488,4.393725,4.2228012,4.0987598,3.9747184,3.850677,3.726636,3.6025946,3.4785532,3.3545124,3.2304714,3.10643,2.9823886,2.9047908,2.827193,2.7495946,2.6719964,2.5943986,2.5168002,2.4392024,2.3616046,2.2840068,2.206408,2.1488154,2.0912228,2.0336302,1.9760372,1.9184446,1.860852,1.803259,1.7456664,1.6880738,1.6304808,1.6095342,1.5885876,1.567641,1.546694,1.5257474,1.5048008,1.4838542,1.4629076,1.4419606,1.421014,1.402621,1.3842276,1.3658336,1.3474406,1.3290472,1.3106532,1.2922602,1.2738662,1.2554728
1952.5,32.103285,34.33655,36.56982,37.520955,38.472095,39.42323,40.374365,41.325505,42.27664,43.22778,44.178915,43.980195,43.78148,43.582765,43.384045,43.185325,42.98661,42.78789,42.589175,42.390455,42.19174,41.8371,41.482465,41.12783,40.77319,40.418555,40.06392,39.70928,39.354645,39.000005,38.645365,38.334715,38.024065,37.713405,37.402755,37.0921,36.781445,36.470795,36.160135,35.849485,35.53883,35.25733,34.975825,34.69432,34.412825,34.13132,33.849815,33.568315,33.286815,33.00531,32.723805,32.44067,32.157535,31.8744,31.591265,31.30813,31.024995,30.74186,30.458725,30.17559,29.892455,29.59717,29.301885,29.0066,28.711315,28.416025,28.12074,27.82545,27.530165,27.23488,26.939595,26.634105,26.328625,26.02314,25.71765,25.41217,25.10668,24.801195,24.49571,24.190225,23.88474,23.55947,23.2342,22.90893,22.583665,22.258395,21.933125,21.607855,21.282585,20.95732,20.63205,20.290095,19.948145,19.60619,19.264235,18.922285,18.58033,18.238375,17.89642,17.554465,17.212515,16.8837,16.55488,16.226065,15.89725,15.568435,15.23962,14.910805,14.581995,14.25318,13.924365,13.61116,13.297955,12.984755,12.67155,12.358345,12.04514,11.73194,11.41874,11.105535,10.792335,10.530305,10.26828,10.0062575,9.7442325,9.4822075,9.220182,8.958157,8.6961325,8.4341075,8.1720825,7.949954,7.7278255,7.505697,7.2835685,7.06144,6.839312,6.6171835,6.395055,6.172927,5.9507985,5.779492,5.6081865,5.436881,5.2655755,5.094269,4.9229635,4.751658,4.5803515,4.409046,4.2377405,4.1133115,3.9888825,3.8644535,3.740025,3.615596,3.491167,3.3667385,3.24231,3.117881,2.993452,2.9155045,2.837557,2.759609,2.681661,2.6037135,2.5257655,2.447818,2.3698705,2.291923,2.2139745,2.156106,2.0982375,2.040369,1.9825,1.9246315,1.866763,1.808894,1.7510255,1.693157,1.635288,1.6141755,1.593063,1.5719505,1.5508375,1.529725,1.5086125,1.4875,1.4663875,1.4452745,1.424162,1.4056475,1.3871325,1.368617,1.3501025,1.3315875,1.313072,1.2945575,1.276042,1.257527
1953,32.236,34.467514,36.699032,37.645166,38.591304,39.537438,40.48357,41.429708,42.375842,43.32198,44.268114,44.068362,43.868614,43.668868,43.469116,43.269364,43.069618,42.869866,42.670118,42.470366,42.27062,41.915512,41.56041,41.205308,40.8502,40.495098,40.139996,39.784888,39.429786,39.07468,38.719572,38.408336,38.0971,37.785854,37.474618,37.163378,36.852136,36.5409,36.229654,35.918418,35.607178,35.325,35.042818,34.760636,34.478464,34.196282,33.9141,33.631924,33.349746,33.067564,32.785382,32.501584,32.217786,31.933988,31.65019,31.366392,31.082594,30.798796,30.514998,30.2312,29.947402,29.651478,29.355554,29.05963,28.763706,28.467776,28.171852,27.875924,27.58,27.284076,26.988152,26.682076,26.37601,26.06994,25.763864,25.457798,25.151722,24.845652,24.539582,24.23351,23.92744,23.60169,23.275942,22.950192,22.624448,22.298698,21.97295,21.6472,21.32145,20.995706,20.669956,20.327622,19.985294,19.64296,19.300626,18.958296,18.615962,18.273628,17.931294,17.58896,17.24663,16.917446,16.588258,16.259074,15.92989,15.600706,15.271522,14.942338,14.61316,14.283976,13.954792,13.641238,13.327684,13.014134,12.70058,12.387026,12.073472,11.759922,11.446374,11.13282,10.81927,10.556826,10.294386,10.0319488,9.7695092,9.5070696,9.2446296,8.98219,8.719751,8.4573114,8.1948718,7.97234,7.7498082,7.5272764,7.3047446,7.0822128,6.8596814,6.6371496,6.4146178,6.1920866,5.9695548,5.7978666,5.6261794,5.4544922,5.282805,5.1111168,4.9394296,4.7677424,4.5960542,4.424367,4.2526798,4.1278632,4.0030466,3.87823,3.753414,3.6285974,3.5037808,3.3789646,3.2541486,3.129332,3.0045154,2.9262182,2.847921,2.7696234,2.6913256,2.6130284,2.5347308,2.4564336,2.3781364,2.2998392,2.221541,2.1633966,2.1052522,2.0471078,1.9889628,1.9308184,1.872674,1.814529,1.7563846,1.6982402,1.6400952,1.6188168,1.5975384,1.57626,1.554981,1.5337026,1.5124242,1.4911458,1.4698674,1.4485884,1.42731,1.408674,1.3900374,1.3714004,1.3527644,1.3341278,1.3154908,1.2968548,1.2782178,1.2595812
1953.5,32.368715,34.598478,36.828244,37.769377,38.710513,39.651646,40.592775,41.533911,42.475044,43.41618,44.357313,44.156529,43.955748,43.754971,43.554187,43.353403,43.152626,42.951842,42.751061,42.550277,42.3495,41.993924,41.638355,41.282786,40.92721,40.571641,40.216072,39.860496,39.504927,39.149355,38.793779,38.481957,38.170135,37.858303,37.546481,37.234656,36.922827,36.611005,36.299173,35.987351,35.675526,35.39267,35.109811,34.826952,34.544103,34.261244,33.978385,33.695533,33.412677,33.129818,32.846959,32.562498,32.278037,31.993576,31.709115,31.424654,31.140193,30.855732,30.571271,30.28681,30.002349,29.705786,29.409223,29.11266,28.816097,28.519527,28.222964,27.926398,27.629835,27.333272,27.036709,26.730047,26.423395,26.11674,25.810078,25.503426,25.196764,24.890109,24.583454,24.276795,23.97014,23.64391,23.317684,22.991454,22.665231,22.339001,22.012775,21.686545,21.360315,21.034092,20.707862,20.365149,20.022443,19.67973,19.337017,18.994307,18.651594,18.308881,17.966168,17.623455,17.280745,16.951192,16.621636,16.292083,15.96253,15.632977,15.303424,14.973871,14.644325,14.314772,13.985219,13.671316,13.357413,13.043513,12.72961,12.415707,12.101804,11.787904,11.474008,11.160105,10.846205,10.583347,10.320492,10.0576401,9.7947859,9.5319317,9.2690772,9.006223,8.7433695,8.4805153,8.2176611,7.994726,7.7717909,7.5488558,7.3259207,7.1029856,6.8800508,6.6571157,6.4341806,6.2112462,5.9883111,5.8162412,5.6441723,5.4721034,5.3000345,5.1279646,4.9558957,4.7838268,4.6117569,4.439688,4.2676191,4.1424149,4.0172107,3.8920065,3.766803,3.6415988,3.5163946,3.3911907,3.2659872,3.140783,3.0155788,2.9369319,2.858285,2.7796378,2.7009902,2.6223433,2.5436961,2.4650492,2.3864023,2.3077554,2.2291075,2.1706872,2.1122669,2.0538466,1.9954256,1.9370053,1.878585,1.820164,1.7617437,1.7033234,1.6449024,1.6234581,1.6020138,1.5805695,1.5591245,1.5376802,1.5162359,1.4947916,1.4733473,1.4519023,1.430458,1.4117005,1.3929423,1.3741838,1.3554263,1.3366681,1.3179096,1.2991521,1.2803936,1.2616354
1954,32.50143,34.729442,36.957456,37.893588,38.829722,39.765854,40.70198,41.638114,42.574246,43.51038,44.446512,44.244696,44.042882,43.841074,43.639258,43.437442,43.235634,43.033818,42.832004,42.630188,42.42838,42.072336,41.7163,41.360264,41.00422,40.648184,40.292148,39.936104,39.580068,39.22403,38.867986,38.555578,38.24317,37.930752,37.618344,37.305934,36.993518,36.68111,36.368692,36.056284,35.743874,35.46034,35.176804,34.893268,34.609742,34.326206,34.04267,33.759142,33.475608,33.192072,32.908536,32.623412,32.338288,32.053164,31.76804,31.482916,31.197792,30.912668,30.627544,30.34242,30.057296,29.760094,29.462892,29.16569,28.868488,28.571278,28.274076,27.976872,27.67967,27.382468,27.085266,26.778018,26.47078,26.16354,25.856292,25.549054,25.241806,24.934566,24.627326,24.32008,24.01284,23.68613,23.359426,23.032716,22.706014,22.379304,22.0526,21.72589,21.39918,21.072478,20.745768,20.402676,20.059592,19.7165,19.373408,19.030318,18.687226,18.344134,18.001042,17.65795,17.31486,16.984938,16.655014,16.325092,15.99517,15.665248,15.335326,15.005404,14.67549,14.345568,14.015646,13.701394,13.387142,13.072892,12.75864,12.444388,12.130136,11.815886,11.501642,11.18739,10.87314,10.609868,10.346598,10.0833314,9.8200626,9.5567938,9.2935248,9.030256,8.766988,8.5037192,8.2404504,8.017112,7.7937736,7.5704352,7.3470968,7.1237584,6.9004202,6.6770818,6.4537434,6.2304058,6.0070674,5.8346158,5.6621652,5.4897146,5.317264,5.1448124,4.9723618,4.7999112,4.6274596,4.455009,4.2825584,4.1569666,4.0313748,3.905783,3.780192,3.6546002,3.5290084,3.4034168,3.2778258,3.152234,3.0266422,2.9476456,2.868649,2.7896522,2.7106548,2.6316582,2.5526614,2.4736648,2.3946682,2.3156716,2.236674,2.1779778,2.1192816,2.0605854,2.0018884,1.9431922,1.884496,1.825799,1.7671028,1.7084066,1.6497096,1.6280994,1.6064892,1.584879,1.563268,1.5416578,1.5200476,1.4984374,1.4768272,1.4552162,1.433606,1.414727,1.3958472,1.3769672,1.3580882,1.3392084,1.3203284,1.3014494,1.2825694,1.2636896
1954.5,32.634145,34.860406,37.086668,38.017799,38.948931,39.880062,40.811185,41.742317,42.673448,43.60458,44.535711,44.332863,44.130016,43.927177,43.724329,43.521481,43.318642,43.115794,42.912947,42.710099,42.50726,42.150748,41.794245,41.437742,41.08123,40.724727,40.368224,40.011712,39.655209,39.298705,38.942193,38.629199,38.316205,38.003201,37.690207,37.377212,37.064209,36.751215,36.438211,36.125217,35.812222,35.52801,35.243797,34.959584,34.675381,34.391168,34.106955,33.822751,33.538539,33.254326,32.970113,32.684326,32.398539,32.112752,31.826965,31.541178,31.255391,30.969604,30.683817,30.39803,30.112243,29.814402,29.516561,29.21872,28.920879,28.623029,28.325188,28.027346,27.729505,27.431664,27.133823,26.825989,26.518165,26.21034,25.902506,25.594682,25.286848,24.979023,24.671198,24.363365,24.05554,23.72835,23.401168,23.073978,22.746797,22.419607,22.092425,21.765235,21.438045,21.110864,20.783674,20.440203,20.096741,19.75327,19.409799,19.066329,18.722858,18.379387,18.035916,17.692445,17.348975,17.018684,16.688392,16.358101,16.02781,15.697519,15.367228,15.036937,14.706655,14.376364,14.046073,13.731472,13.416871,13.102271,12.78767,12.473069,12.158468,11.843868,11.529276,11.214675,10.900075,10.636389,10.372704,10.1090227,9.8453393,9.5816559,9.3179724,9.054289,8.7906065,8.5269231,8.2632397,8.039498,7.8157563,7.5920146,7.3682729,7.1445312,6.9207896,6.6970479,6.4733062,6.2495654,6.0258237,5.8529904,5.6801581,5.5073258,5.3344935,5.1616602,4.9888279,4.8159956,4.6431623,4.47033,4.2974977,4.1715183,4.0455389,3.9195595,3.793581,3.6676016,3.5416222,3.4156429,3.2896644,3.163685,3.0377056,2.9583593,2.879013,2.7996666,2.7203194,2.6409731,2.5616267,2.4822804,2.4029341,2.3235878,2.2442405,2.1852684,2.1262963,2.0673242,2.0083512,1.9493791,1.890407,1.831434,1.7724619,1.7134898,1.6545168,1.6327407,1.6109646,1.5891885,1.5674115,1.5456354,1.5238593,1.5020832,1.4803071,1.4585301,1.436754,1.4177535,1.3987521,1.3797506,1.3607501,1.3417487,1.3227472,1.3037467,1.2847452,1.2657438
