"time","0","0.5","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10","10.5","11","11.5","12","12.5","13","13.5","14","14.5","15","15.5","16","16.5","17","17.5","18","18.5","19","19.5","20","20.5","21","21.5","22","22.5","23","23.5","24","24.5","25","25.5","26","26.5","27","27.5","28","28.5","29","29.5","30","30.5","31","31.5","32","32.5","33","33.5","34","34.5","35","35.5","36","36.5","37","37.5","38","38.5","39","39.5","40","40.5","41","41.5","42","42.5","43","43.5","44","44.5","45","45.5","46","46.5","47","47.5","48","48.5","49","49.5","50","50.5","51","51.5","52","52.5","53","53.5","54","54.5","55","55.5","56","56.5","57","57.5","58","58.5","59","59.5","60","60.5","61","61.5","62","62.5","63","63.5","64","64.5","65","65.5","66","66.5","67","67.5","68","68.5","69","69.5","70","70.5","71","71.5","72","72.5","73","73.5","74","74.5","75","75.5","76","76.5","77","77.5","78","78.5","79","79.5","80","80.5","81","81.5","82","82.5","83","83.5","84","84.5","85","85.5","86","86.5","87","87.5","88","88.5","89","89.5","90","90.5","91","91.5","92","92.5","93","93.5","94","94.5","95","95.5","96","96.5","97","97.5","98","98.5","99","99.5"
1950,29.09127,31.37859,33.66592,34.75137,35.83682,36.92227,38.00771,39.09316,40.17861,41.26406,42.34951,42.12596,41.90242,41.67887,41.45533,41.23178,41.00824,40.78469,40.56115,40.3376,40.11406,39.74157,39.36908,38.9966,38.62411,38.25162,37.87913,37.50665,37.13416,36.76167,36.38918,36.06315,35.73711,35.41108,35.08504,34.75901,34.43297,34.10694,33.7809,33.45487,33.12884,32.87202,32.6152,32.35838,32.10156,31.84474,31.58792,31.3311,31.07428,30.81746,30.56064,30.28403,30.00742,29.73081,29.4542,29.17759,28.90098,28.62438,28.34777,28.07116,27.79455,27.49363,27.19271,26.89179,26.59087,26.28995,25.98903,25.68811,25.38718,25.08626,24.78534,24.47971,24.17408,23.86844,23.56281,23.25717,22.95154,22.64591,22.34027,22.03464,21.729,21.42971,21.13042,20.83112,20.53183,20.23253,19.93324,19.63395,19.33465,19.03536,18.73607,18.43664,18.13721,17.83778,17.53835,17.23892,16.93949,16.64006,16.34063,16.0412,15.74177,15.45375,15.16573,14.87771,14.58969,14.30167,14.01365,13.72563,13.43761,13.14959,12.86157,12.58805,12.31454,12.04103,11.76752,11.49401,11.22049,10.94698,10.67347,10.39996,10.12645,9.889365,9.652284,9.415202,9.17812,8.941039,8.703957,8.466875,8.229794,7.992712,7.75563,7.549882,7.344133,7.138385,6.932636,6.726888,6.521139,6.315391,6.109642,5.903893,5.698145,5.536471,5.374797,5.213123,5.051449,4.889775,4.728101,4.566427,4.404753,4.243079,4.081405,3.963628,3.84585,3.728073,3.610295,3.492518,3.37474,3.256963,3.139185,3.021408,2.90363,2.825792,2.747953,2.670115,2.592276,2.514438,2.4366,2.358761,2.280923,2.203085,2.125246,2.069823,2.0144,1.958976,1.903553,1.84813,1.792706,1.737283,1.68186,1.626436,1.571013,1.552182,1.533351,1.51452,1.495688,1.476857,1.458026,1.439195,1.420364,1.401533,1.382702,1.365655,1.348609,1.331563,1.314516,1.29747,1.280423,1.263377,1.24633,1.229284
1950.5,29.217881,31.503922,33.789972,34.870353,35.950735,37.031117,38.111489,39.191871,40.272253,41.352634,42.433016,42.208566,41.984124,41.759674,41.535232,41.310782,41.08634,40.86189,40.637448,40.412998,40.188556,39.815686,39.442817,39.069956,38.697086,38.324216,37.951347,37.578486,37.205616,36.832747,36.459877,36.133337,35.806788,35.480248,35.153699,34.82716,34.500611,34.174071,33.847522,33.520982,33.194443,32.936907,32.679372,32.421837,32.164301,31.906766,31.649231,31.391695,31.13416,30.876625,30.619089,30.341798,30.064507,29.787215,29.509924,29.232633,28.955342,28.678059,28.400768,28.123477,27.846186,27.544705,27.243224,26.941744,26.640263,26.338782,26.037301,25.735821,25.434331,25.13285,24.83137,24.525211,24.219053,23.912886,23.606727,23.30056,22.994402,22.688244,22.382076,22.075918,21.769751,21.469952,21.170153,20.870345,20.570546,20.270738,19.970939,19.67114,19.371332,19.071533,18.771734,18.47185,18.171966,17.872082,17.572199,17.272315,16.972431,16.672547,16.372663,16.07278,15.772896,15.484472,15.196049,14.907625,14.619202,14.330778,14.042354,13.753931,13.465507,13.177084,12.88866,12.614785,12.340918,12.067052,11.793185,11.519319,11.245443,10.971577,10.69771,10.423844,10.149977,9.9125239,9.6750743,9.4376238,9.2001733,8.9627237,8.7252732,8.4878228,8.2503732,8.0129227,7.7754722,7.5693701,7.3632671,7.157165,6.951062,6.7449599,6.5388569,6.3327548,6.1266518,5.9205488,5.7144467,5.5524326,5.3904184,5.2284043,5.0663902,4.9043761,4.7423619,4.5803478,4.4183337,4.2563195,4.0943054,3.9761906,3.8580748,3.73996,3.6218442,3.5037294,3.3856136,3.2674988,3.149383,3.0312682,2.9131524,2.8349989,2.7568446,2.6786911,2.6005367,2.5223832,2.4442297,2.3660753,2.2879219,2.2097684,2.131614,2.075952,2.0202901,1.9646272,1.9089652,1.8533032,1.7976404,1.7419784,1.6863164,1.6306536,1.5749916,1.5560275,1.5370635,1.5180994,1.4991344,1.4801704,1.4612063,1.4422422,1.4232781,1.4043141,1.38535,1.3681995,1.3510498,1.3339001,1.3167496,1.2995999,1.2824494,1.2652997,1.2481491,1.2309995
1951,29.344492,31.629254,33.914024,34.989336,36.06465,37.139964,38.215268,39.290582,40.365896,41.441208,42.516522,42.291172,42.065828,41.840478,41.615134,41.389784,41.16444,40.93909,40.713746,40.488396,40.263052,39.889802,39.516554,39.143312,38.770062,38.396812,38.023564,37.650322,37.277072,36.903824,36.530574,36.203524,35.876466,35.549416,35.222358,34.89531,34.568252,34.241202,33.914144,33.587094,33.260046,33.001794,32.743544,32.485294,32.227042,31.968792,31.710542,31.45229,31.19404,30.93579,30.677538,30.399566,30.121594,29.84362,29.565648,29.287676,29.009704,28.731738,28.453766,28.175794,27.897822,27.59578,27.293738,26.991698,26.689656,26.387614,26.085572,25.783532,25.481482,25.17944,24.8774,24.570712,24.264026,23.957332,23.650644,23.34395,23.037264,22.730578,22.423882,22.117196,21.810502,21.510194,21.209886,20.90957,20.609262,20.308946,20.008638,19.70833,19.408014,19.107706,18.807398,18.50706,18.206722,17.906384,17.606048,17.30571,17.005372,16.705034,16.404696,16.10436,15.804022,15.515194,15.226368,14.93754,14.648714,14.359886,14.071058,13.782232,13.493404,13.204578,12.91575,12.64152,12.367296,12.093074,11.81885,11.544628,11.270396,10.996174,10.72195,10.447728,10.173504,9.9356828,9.6978646,9.4600456,9.2222266,8.9844084,8.7465894,8.5087706,8.2709524,8.0331334,7.7953144,7.5888582,7.3824012,7.175945,6.969488,6.7630318,6.5565748,6.3501186,6.1436616,5.9372046,5.7307484,5.5683942,5.4060398,5.2436856,5.0813314,4.9189772,4.7566228,4.5942686,4.4319144,4.26956,4.1072058,3.9887532,3.8702996,3.751847,3.6333934,3.5149408,3.3964872,3.2780346,3.159581,3.0411284,2.9226748,2.8442058,2.7657362,2.6872672,2.6087974,2.5303284,2.4518594,2.3733896,2.2949208,2.2164518,2.137982,2.082081,2.0261802,1.9702784,1.9143774,1.8584764,1.8025748,1.7466738,1.6907728,1.6348712,1.5789702,1.559873,1.540776,1.5216788,1.5025808,1.4834838,1.4643866,1.4452894,1.4261922,1.4070952,1.387998,1.370744,1.3534906,1.3362372,1.3189832,1.3017298,1.2844758,1.2672224,1.2499682,1.232715
1951.5,29.471103,31.754586,34.038076,35.108319,36.178565,37.248811,38.319047,39.389293,40.459539,41.529782,42.600028,42.373778,42.147532,41.921282,41.695036,41.468786,41.24254,41.01629,40.790044,40.563794,40.337548,39.963918,39.590291,39.216668,38.843038,38.469408,38.095781,37.722158,37.348528,36.974901,36.601271,36.273711,35.946144,35.618584,35.291017,34.96346,34.635893,34.308333,33.980766,33.653206,33.325649,33.066681,32.807716,32.548751,32.289783,32.030818,31.771853,31.512885,31.25392,30.994955,30.735987,30.457334,30.178681,29.900025,29.621372,29.342719,29.064066,28.785417,28.506764,28.228111,27.949458,27.646855,27.344252,27.041652,26.739049,26.436446,26.133843,25.831243,25.528633,25.22603,24.92343,24.616213,24.308999,24.001778,23.694561,23.38734,23.080126,22.772912,22.465688,22.158474,21.851253,21.550436,21.249619,20.948795,20.647978,20.347154,20.046337,19.74552,19.444696,19.143879,18.843062,18.54227,18.241478,17.940686,17.639897,17.339105,17.038313,16.737521,16.436729,16.13594,15.835148,15.545916,15.256687,14.967455,14.678226,14.388994,14.099762,13.810533,13.521301,13.232072,12.94284,12.668255,12.393674,12.119096,11.844515,11.569937,11.295349,11.020771,10.74619,10.471612,10.197031,9.9588417,9.7206549,9.4824674,9.2442799,9.0060931,8.7679056,8.5297184,8.2915316,8.0533441,7.8151566,7.6083463,7.4015353,7.194725,6.987914,6.7811037,6.5742927,6.3674824,6.1606714,5.9538604,5.7470501,5.5843558,5.4216612,5.2589669,5.0962726,4.9335783,4.7708837,4.6081894,4.4454951,4.2828005,4.1201062,4.0013158,3.8825244,3.763734,3.6449426,3.5261522,3.4073608,3.2885704,3.169779,3.0509886,2.9321972,2.8534127,2.7746278,2.6958433,2.6170581,2.5382736,2.4594891,2.3807039,2.3019197,2.2231352,2.14435,2.08821,2.0320703,1.9759296,1.9197896,1.8636496,1.8075092,1.7513692,1.6952292,1.6390888,1.5829488,1.5637185,1.5444885,1.5252582,1.5060272,1.4867972,1.4675669,1.4483366,1.4291063,1.4098763,1.390646,1.3732885,1.3559314,1.3385743,1.3212168,1.3038597,1.2865022,1.2691451,1.2517873,1.2344305
1952,29.597714,31.879918,34.162128,35.227302,36.29248,37.357658,38.422826,39.488004,40.553182,41.618356,42.683534,42.456384,42.229236,42.002086,41.774938,41.547788,41.32064,41.09349,40.866342,40.639192,40.412044,40.038034,39.664028,39.290024,38.916014,38.542004,38.167998,37.793994,37.419984,37.045978,36.671968,36.343898,36.015822,35.687752,35.359676,35.03161,34.703534,34.375464,34.047388,33.719318,33.391252,33.131568,32.871888,32.612208,32.352524,32.092844,31.833164,31.57348,31.3138,31.05412,30.794436,30.515102,30.235768,29.95643,29.677096,29.397762,29.118428,28.839096,28.559762,28.280428,28.001094,27.69793,27.394766,27.091606,26.788442,26.485278,26.182114,25.878954,25.575784,25.27262,24.96946,24.661714,24.353972,24.046224,23.738478,23.43073,23.122988,22.815246,22.507494,22.199752,21.892004,21.590678,21.289352,20.98802,20.686694,20.385362,20.084036,19.78271,19.481378,19.180052,18.878726,18.57748,18.276234,17.974988,17.673746,17.3725,17.071254,16.770008,16.468762,16.16752,15.866274,15.576638,15.287006,14.99737,14.707738,14.418102,14.128466,13.838834,13.549198,13.259566,12.96993,12.69499,12.420052,12.145118,11.87018,11.595246,11.320302,11.045368,10.77043,10.495496,10.220558,9.9820006,9.7434452,9.5048892,9.2663332,9.0277778,8.7892218,8.5506662,8.3121108,8.0735548,7.8349988,7.6278344,7.4206694,7.213505,7.00634,6.7991756,6.5920106,6.3848462,6.1776812,5.9705162,5.7633518,5.6003174,5.4372826,5.2742482,5.1112138,4.9481794,4.7851446,4.6221102,4.4590758,4.296041,4.1330066,4.0138784,3.8947492,3.775621,3.6564918,3.5373636,3.4182344,3.2991062,3.179977,3.0608488,2.9417196,2.8626196,2.7835194,2.7044194,2.6253188,2.5462188,2.4671188,2.3880182,2.3089186,2.2298186,2.150718,2.094339,2.0379604,1.9815808,1.9252018,1.8688228,1.8124436,1.7560646,1.6996856,1.6433064,1.5869274,1.567564,1.548201,1.5288376,1.5094736,1.4901106,1.4707472,1.4513838,1.4320204,1.4126574,1.393294,1.375833,1.3583722,1.3409114,1.3234504,1.3059896,1.2885286,1.2710678,1.2536064,1.236146
1952.5,29.724325,32.00525,34.28618,35.346285,36.406395,37.466505,38.526605,39.586715,40.646825,41.70693,42.76704,42.53899,42.31094,42.08289,41.85484,41.62679,41.39874,41.17069,40.94264,40.71459,40.48654,40.11215,39.737765,39.36338,38.98899,38.6146,38.240215,37.86583,37.49144,37.117055,36.742665,36.414085,36.0855,35.75692,35.428335,35.09976,34.771175,34.442595,34.11401,33.78543,33.456855,33.196455,32.93606,32.675665,32.415265,32.15487,31.894475,31.634075,31.37368,31.113285,30.852885,30.57287,30.292855,30.012835,29.73282,29.452805,29.17279,28.892775,28.61276,28.332745,28.05273,27.749005,27.44528,27.14156,26.837835,26.53411,26.230385,25.926665,25.622935,25.31921,25.01549,24.707215,24.398945,24.09067,23.782395,23.47412,23.16585,22.85758,22.5493,22.24103,21.932755,21.63092,21.329085,21.027245,20.72541,20.42357,20.121735,19.8199,19.51806,19.216225,18.91439,18.61269,18.31099,18.00929,17.707595,17.405895,17.104195,16.802495,16.500795,16.1991,15.8974,15.60736,15.317325,15.027285,14.73725,14.44721,14.15717,13.867135,13.577095,13.28706,12.99702,12.721725,12.44643,12.17114,11.895845,11.620555,11.345255,11.069965,10.79467,10.51938,10.244085,10.0051595,9.7662355,9.527311,9.2883865,9.0494625,8.810538,8.571614,8.33269,8.0937655,7.854841,7.6473225,7.4398035,7.232285,7.024766,6.8172475,6.6097285,6.40221,6.194691,5.987172,5.7796535,5.616279,5.452904,5.2895295,5.126155,4.9627805,4.7994055,4.636031,4.4726565,4.3092815,4.145907,4.026441,3.906974,3.787508,3.668041,3.548575,3.429108,3.309642,3.190175,3.070709,2.951242,2.8718265,2.792411,2.7129955,2.6335795,2.554164,2.4747485,2.3953325,2.3159175,2.236502,2.157086,2.100468,2.0438505,1.987232,1.930614,1.873996,1.817378,1.76076,1.704142,1.647524,1.590906,1.5714095,1.5519135,1.532417,1.51292,1.493424,1.4739275,1.454431,1.4349345,1.4154385,1.395942,1.3783775,1.360813,1.3432485,1.325684,1.3081195,1.290555,1.2729905,1.2554255,1.2378615
1953,29.850936,32.130582,34.410232,35.465268,36.52031,37.575352,38.630384,39.685426,40.740468,41.795504,42.850546,42.621596,42.392644,42.163694,41.934742,41.705792,41.47684,41.24789,41.018938,40.789988,40.561036,40.186266,39.811502,39.436736,39.061966,38.687196,38.312432,37.937666,37.562896,37.188132,36.813362,36.484272,36.155178,35.826088,35.496994,35.16791,34.838816,34.509726,34.180632,33.851542,33.522458,33.261342,33.000232,32.739122,32.478006,32.216896,31.955786,31.69467,31.43356,31.17245,30.911334,30.630638,30.349942,30.06924,29.788544,29.507848,29.227152,28.946454,28.665758,28.385062,28.104366,27.80008,27.495794,27.191514,26.887228,26.582942,26.278656,25.974376,25.670086,25.3658,25.06152,24.752716,24.443918,24.135116,23.826312,23.51751,23.208712,22.899914,22.591106,22.282308,21.973506,21.671162,21.368818,21.06647,20.764126,20.461778,20.159434,19.85709,19.554742,19.252398,18.950054,18.6479,18.345746,18.043592,17.741444,17.43929,17.137136,16.834982,16.532828,16.23068,15.928526,15.638082,15.347644,15.0572,14.766762,14.476318,14.185874,13.895436,13.604992,13.314554,13.02411,12.74846,12.472808,12.197162,11.92151,11.645864,11.370208,11.094562,10.81891,10.543264,10.267612,10.0283184,9.7890258,9.5497328,9.3104398,9.0711472,8.8318542,8.5925618,8.3532692,8.1139762,7.8746832,7.6668106,7.4589376,7.251065,7.043192,6.8353194,6.6274464,6.4195738,6.2117008,6.0038278,5.7959552,5.6322406,5.4685254,5.3048108,5.1410962,4.9773816,4.8136664,4.6499518,4.4862372,4.322522,4.1588074,4.0390036,3.9191988,3.799395,3.6795902,3.5597864,3.4399816,3.3201778,3.200373,3.0805692,2.9607644,2.8810334,2.8013026,2.7215716,2.6418402,2.5621092,2.4823782,2.4026468,2.3229164,2.2431854,2.163454,2.106597,2.0497406,1.9928832,1.9360262,1.8791692,1.8223124,1.7654554,1.7085984,1.6517416,1.5948846,1.575255,1.555626,1.5359964,1.5163664,1.4967374,1.4771078,1.4574782,1.4378486,1.4182196,1.39859,1.380922,1.3632538,1.3455856,1.3279176,1.3102494,1.2925814,1.2749132,1.2572446,1.239577
1953.5,29.977547,32.255914,34.534284,35.584251,36.634225,37.684199,38.734163,39.784137,40.834111,41.884078,42.934052,42.704202,42.474348,42.244498,42.014644,41.784794,41.55494,41.32509,41.095236,40.865386,40.635532,40.260382,39.885239,39.510092,39.134942,38.759792,38.384649,38.009502,37.634352,37.259209,36.884059,36.554459,36.224856,35.895256,35.565653,35.23606,34.906457,34.576857,34.247254,33.917654,33.588061,33.326229,33.064404,32.802579,32.540747,32.278922,32.017097,31.755265,31.49344,31.231615,30.969783,30.688406,30.407029,30.125645,29.844268,29.562891,29.281514,29.000133,28.718756,28.437379,28.156002,27.851155,27.546308,27.241468,26.936621,26.631774,26.326927,26.022087,25.717237,25.41239,25.10755,24.798217,24.488891,24.179562,23.870229,23.5609,23.251574,22.942248,22.632912,22.323586,22.014257,21.711404,21.408551,21.105695,20.802842,20.499986,20.197133,19.89428,19.591424,19.288571,18.985718,18.68311,18.380502,18.077894,17.775293,17.472685,17.170077,16.867469,16.564861,16.26226,15.959652,15.668804,15.377963,15.087115,14.796274,14.505426,14.214578,13.923737,13.632889,13.342048,13.0512,12.775195,12.499186,12.223184,11.947175,11.671173,11.395161,11.119159,10.84315,10.567148,10.291139,10.0514773,9.8118161,9.5721546,9.3324931,9.0928319,8.8531704,8.6135096,8.3738484,8.1341869,7.8945254,7.6862987,7.4780717,7.269845,7.061618,6.8533913,6.6451643,6.4369376,6.2287106,6.0204836,5.8122569,5.6482022,5.4841468,5.3200921,5.1560374,4.9919827,4.8279273,4.6638726,4.4998179,4.3357625,4.1717078,4.0515662,3.9314236,3.811282,3.6911394,3.5709978,3.4508552,3.3307136,3.210571,3.0904294,2.9702868,2.8902403,2.8101942,2.7301477,2.6501009,2.5700544,2.4900079,2.4099611,2.3299153,2.2498688,2.169822,2.112726,2.0556307,1.9985344,1.9414384,1.8843424,1.8272468,1.7701508,1.7130548,1.6559592,1.5988632,1.5791005,1.5593385,1.5395758,1.5198128,1.5000508,1.4802881,1.4605254,1.4407627,1.4210007,1.401238,1.3834665,1.3656946,1.3479227,1.3301512,1.3123793,1.2946078,1.2768359,1.2590637,1.2412925
1954,30.104158,32.381246,34.658336,35.703234,36.74814,37.793046,38.837942,39.882848,40.927754,41.972652,43.017558,42.786808,42.556052,42.325302,42.094546,41.863796,41.63304,41.40229,41.171534,40.940784,40.710028,40.334498,39.958976,39.583448,39.207918,38.832388,38.456866,38.081338,37.705808,37.330286,36.954756,36.624646,36.294534,35.964424,35.634312,35.30421,34.974098,34.643988,34.313876,33.983766,33.653664,33.391116,33.128576,32.866036,32.603488,32.340948,32.078408,31.81586,31.55332,31.29078,31.028232,30.746174,30.464116,30.18205,29.899992,29.617934,29.335876,29.053812,28.771754,28.489696,28.207638,27.90223,27.596822,27.291422,26.986014,26.680606,26.375198,26.069798,25.764388,25.45898,25.15358,24.843718,24.533864,24.224008,23.914146,23.60429,23.294436,22.984582,22.674718,22.364864,22.055008,21.751646,21.448284,21.14492,20.841558,20.538194,20.234832,19.93147,19.628106,19.324744,19.021382,18.71832,18.415258,18.112196,17.809142,17.50608,17.203018,16.899956,16.596894,16.29384,15.990778,15.699526,15.408282,15.11703,14.825786,14.534534,14.243282,13.952038,13.660786,13.369542,13.07829,12.80193,12.525564,12.249206,11.97284,11.696482,11.420114,11.143756,10.86739,10.591032,10.314666,10.0746362,9.8346064,9.5945764,9.3545464,9.1145166,8.8744866,8.6344574,8.3944276,8.1543976,7.9143676,7.7057868,7.4972058,7.288625,7.080044,6.8714632,6.6628822,6.4543014,6.2457204,6.0371394,5.8285586,5.6641638,5.4997682,5.3353734,5.1709786,5.0065838,4.8421882,4.6777934,4.5133986,4.349003,4.1846082,4.0641288,3.9436484,3.823169,3.7026886,3.5822092,3.4617288,3.3412494,3.220769,3.1002896,2.9798092,2.8994472,2.8190858,2.7387238,2.6583616,2.5779996,2.4976376,2.4172754,2.3369142,2.2565522,2.17619,2.118855,2.0615208,2.0041856,1.9468506,1.8895156,1.8321812,1.7748462,1.7175112,1.6601768,1.6028418,1.582946,1.563051,1.5431552,1.5232592,1.5033642,1.4834684,1.4635726,1.4436768,1.4237818,1.403886,1.386011,1.3681354,1.3502598,1.3323848,1.3145092,1.2966342,1.2787586,1.2608828,1.243008
1954.5,30.230769,32.506578,34.782388,35.822217,36.862055,37.901893,38.941721,39.981559,41.021397,42.061226,43.101064,42.869414,42.637756,42.406106,42.174448,41.942798,41.71114,41.47949,41.247832,41.016182,40.784524,40.408614,40.032713,39.656804,39.280894,38.904984,38.529083,38.153174,37.777264,37.401363,37.025453,36.694833,36.364212,36.033592,35.702971,35.37236,35.041739,34.711119,34.380498,34.049878,33.719267,33.456003,33.192748,32.929493,32.666229,32.402974,32.139719,31.876455,31.6132,31.349945,31.086681,30.803942,30.521203,30.238455,29.955716,29.672977,29.390238,29.107491,28.824752,28.542013,28.259274,27.953305,27.647336,27.341376,27.035407,26.729438,26.423469,26.117509,25.811539,25.50557,25.19961,24.889219,24.578837,24.268454,23.958063,23.64768,23.337298,23.026916,22.716524,22.406142,22.095759,21.791888,21.488017,21.184145,20.880274,20.576402,20.272531,19.96866,19.664788,19.360917,19.057046,18.75353,18.450014,18.146498,17.842991,17.539475,17.235959,16.932443,16.628927,16.32542,16.021904,15.730248,15.438601,15.146945,14.855298,14.563642,14.271986,13.980339,13.688683,13.397036,13.10538,12.828665,12.551942,12.275228,11.998505,11.721791,11.445067,11.168353,10.89163,10.614916,10.338193,10.0977951,9.8573967,9.6169982,9.3765997,9.1362013,8.8958028,8.6554052,8.4150068,8.1746083,7.9342098,7.7252749,7.5163399,7.307405,7.09847,6.8895351,6.6806001,6.4716652,6.2627302,6.0537952,5.8448603,5.6801254,5.5153896,5.3506547,5.1859198,5.0211849,4.8564491,4.6917142,4.5269793,4.3622435,4.1975086,4.0766914,3.9558732,3.835056,3.7142378,3.5934206,3.4726024,3.3517852,3.230967,3.1101498,2.9893316,2.9086541,2.8279774,2.7472999,2.6666223,2.5859448,2.5052673,2.4245897,2.3439131,2.2632356,2.182558,2.124984,2.0674109,2.0098368,1.9522628,1.8946888,1.8371156,1.7795416,1.7219676,1.6643944,1.6068204,1.5867915,1.5667635,1.5467346,1.5267056,1.5066776,1.4866487,1.4666198,1.4465909,1.4265629,1.406534,1.3885555,1.3705762,1.3525969,1.3346184,1.3166391,1.2986606,1.2806813,1.2627019,1.2447235
